,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,0,9,428,667,422,4,0,207,190,2215,2559,2324,2486,2353,4279,813,359,579,3892,1141,0,5,381,284,No video,11,0,88,0,592,0,0,807,0,1805,2226,2041,2525,2033,3251,2110,1658,2232,2039,0,1474,0,0,847,No video,No video,0,535,0,49,110,1312,1177,1991,1743,2228,1682,432,107,1991,367,1776,1995,0,289,394,0,0,182,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,83,0,3,0,0,425,0,45,384,278,1580,1673,566,2550,1973,1840,0,436,660,77,61,1204,201,83,No video,No video,No video,1363,586,620,0,85,301,349,445,737,52,2121,884,2351,2465,1542,1828,34,31,215,2547,0,789,0,0,1189,159,0,1,755,1,299,1,1109,285,339,674,2754,3626,1546,327,13,2048,240,No video,No video,No video,No video,7,770,0,329,0,563,0,1372,20,0,98,161,34,996,866,1602,14,74,302,317,302,384,745,96,No video,21,5,1277,57,3,0,83,0,1301,80,196,62,1198,575,482,426,720,145,841,No video,No video,No video,No video,No video,No video,No video,63,577,0,No video,6,116,807,15,2592,0,287,901,493,2123,155,1376,45,338,4,1105,489,512,377,64,1785,0,0,0,0,2950,0,118,0,145,56,45,841,345,758,283,988,No video,No video,2,567,402,0,1417,9,13,1108,28,208,446,0,282,0,1184,61,18,277,717,1239,385,1987,392,No video,No video,229,369,1,2635,1503,0,209,151,164,6,9,754,0,4,7,579,14,210,1013,58,499
cam_17202341,25,0,0,44,2,39,128,0,2622,343,2749,3754,2782,5014,12,200,237,739,3393,3302,98,15,54,193,No video,0,33,80,0,125,0,0,1370,542,3126,3087,1405,3247,2593,468,250,1630,2316,6593,1420,107,0,12,156,No video,No video,47,0,0,182,0,280,4074,417,7564,3790,701,6117,0,570,606,2775,1080,0,0,96,0,0,0,189,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,101,0,21,49,68,0,22,211,256,135,280,410,252,924,455,360,307,295,345,199,24,48,91,58,No video,No video,No video,1031,990,381,130,0,25,122,0,225,519,257,190,69,738,319,864,12,71,1,545,31,16,0,100,2,179,0,59,20,171,0,80,101,77,0,14,1349,492,360,756,148,0,18,No video,No video,No video,No video,101,262,0,666,80,22,10,848,3,1263,0,2657,61,771,1325,1227,1331,61,521,103,372,37,797,169,No video,69,0,475,155,0,301,2,2,138,0,344,128,498,1525,735,2073,86,191,204,No video,No video,No video,No video,No video,No video,No video,907,0,0,62,98,166,221,0,34,405,0,11,28,249,1210,554,313,17,67,0,6,134,0,58,505,0,0,143,473,0,257,0,3,0,0,545,776,0,690,18,168,No video,No video,150,198,25,44,44,0,20,10,0,5,228,38,2,0,0,0,62,326,251,49,86,0,17,No video,No video,0,187,9,0,7,0,1,0,10,48,0,0,0,11,0,3,9,40,211,444,188
cam_17202342,14,12,1048,163,261,87,6,93,580,583,1610,2204,1022,1407,846,1170,852,723,686,1036,198,276,0,95,No video,2,990,0,248,320,158,0,163,1899,1488,2208,787,1604,2662,1062,1108,226,622,2597,852,131,512,0,0,No video,No video,0,365,572,713,87,839,394,1089,1100,1826,1279,661,1154,67,1009,1249,1160,515,8,593,4,512,78,403,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1587,570,402,17,207,358,208,1274,912,764,1878,1662,2179,3496,2038,265,2079,1927,1248,1672,1259,169,1916,6,No video,No video,No video,1875,632,164,13,357,0,521,0,623,401,612,1506,1609,1825,3550,458,1175,65,262,485,319,161,137,0,529,0,841,266,3215,68,418,357,594,298,3,980,2324,2541,1553,1736,654,266,26,No video,No video,No video,No video,192,224,0,169,1751,282,2584,0,619,221,2127,13,144,153,1486,578,1954,1585,682,1248,455,6,618,89,No video,25,4770,1568,16495,8,485,1837,430,0,603,212,503,3879,2342,1703,2125,3600,3043,865,No video,No video,No video,No video,No video,No video,No video,1924,0,2809,172,1059,328,1128,1566,4103,511,1146,59,126,155,443,594,25,853,390,1236,34,288,199,545,1529,1512,1897,353,2637,60,53,1295,12803,24686,12,209,1635,20,760,2182,1462,No video,No video,878,1,0,162,190,940,2288,158,4905,135,1914,84,2184,605,5010,8526,5285,6496,2137,9334,3682,4717,6123,No video,No video,2921,192,11,583,371,1,514,40,408,429,66,60,0,429,0,164,287,708,150,171,63
cam_17202345,0,14,644,0,0,421,0,0,1949,342,3500,3527,5194,6980,4390,2136,85,945,4321,3121,301,124,1858,0,No video,0,354,1295,0,383,0,0,396,3876,4840,4910,6881,5491,4211,3045,199,291,7028,3327,3251,0,786,0,0,No video,No video,0,0,0,780,128,2710,3690,4299,6249,5025,5650,8721,6866,6745,10811,4814,4121,5489,18,356,60,649,1966,136,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,483,1352,0,3,0,13,0,474,4,167,823,3433,1366,3767,2110,1723,4433,3804,1965,3173,1809,54,3217,849,No video,No video,No video,1151,4824,1019,976,2760,0,439,0,23,2861,1092,3210,5961,2733,1907,4503,2706,3057,2541,1410,7816,43,255,3831,638,138,443,3544,2312,17,142,176,13,7,2233,923,2344,3248,3436,1490,2440,6711,383,No video,No video,No video,No video,1525,1091,2923,25,1118,272,809,1561,8502,9080,1672,7966,5496,1599,5236,6159,6939,3932,3063,767,1346,2111,64,370,No video,973,2625,6310,1047,7576,5142,1829,5145,4912,1129,1141,71,387,552,1380,12159,3194,No video,No video,No video,No video,No video,No video,No video,No video,No video,2157,7510,7726,4619,60,5583,3097,1569,3654,1299,743,4684,3509,3742,8419,10540,5136,4965,1247,1647,2940,6406,3710,644,189,11666,939,7952,2313,5617,5978,509,6737,3241,7631,7013,5918,2477,5443,2146,5483,No video,No video,1062,2361,789,474,1577,183,424,3839,106,924,620,1431,6492,2041,2365,1179,1513,2895,3509,9536,9440,5705,9530,No video,No video,2660,4203,6746,4682,10360,1004,30299,19154,8375,6021,16,353,2091,4246,3287,1177,87,4913,1422,132,1098
cam_17202346,192,101,734,43,0,965,0,955,4376,4404,4512,4502,4863,5158,3304,650,0,119,520,4736,1360,58,17,10,No video,0,0,1053,0,186,1621,0,0,2681,4387,5327,5708,6160,5323,927,0,476,6406,5602,2948,0,329,0,110,No video,No video,0,0,297,0,7,2826,2794,4472,6231,4466,4581,895,655,565,5036,4893,4828,46,0,799,304,1,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,277,35,0,0,0,275,33,24,63,391,1288,1299,1076,2217,1397,914,877,1588,29,1179,22,1955,0,576,No video,No video,No video,900,742,5,449,53,0,1073,198,0,312,1189,2566,1830,3270,2949,1901,0,1778,91,0,1438,381,0,59,10,411,1173,0,39,942,0,16,1504,0,49,2670,1782,2685,6563,2851,2048,1226,718,No video,No video,No video,No video,0,561,2435,2292,0,1724,0,3224,0,1201,696,14,10,1080,1184,1397,6050,5039,2794,3390,0,4137,0,0,No video,0,0,3091,195,5,477,0,2209,28,266,11,7,1390,911,No video,6198,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,395,1526,0,661,910,0,453,0,148,313,43,993,1783,1071,3166,3036,1429,0,1226,251,1676,228,700,1021,0,430,5865,1302,400,1857,4157,0,136,1322,0,613,196,89,1329,2105,129,No video,No video,3500,0,0,2777,0,0,1731,0,1171,1949,5247,0,0,192,0,544,125,0,0,1507,95,2129,5667,No video,No video,442,530,3980,0,799,0,3548,102,193,102,2561,785,91,25,186,2038,709,525,4,7,239
cam_17202338,791,0,4,109,32,0,6,682,4387,2381,9467,7119,6086,4619,3856,1203,0,2718,4175,4586,500,0,380,2219,No video,12,33,0,6,1038,14,1274,282,2026,2003,3194,3336,4433,4337,1906,327,2928,9652,5717,2363,248,307,37,0,No video,No video,0,0,0,0,1273,2938,3026,3648,8594,4096,6094,870,969,3198,5994,3713,3821,996,713,318,301,193,0,197,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,0,0,0,1025,0,105,197,192,80,4114,519,3389,1496,1583,433,506,1698,438,2853,3168,4316,1220,No video,No video,No video,1319,909,0,194,0,539,0,0,7,373,1617,1073,825,3922,194,685,2085,0,2863,986,0,19,2042,0,0,3,0,1609,0,2,0,363,2148,2074,0,446,2538,4144,3755,445,1328,2735,164,No video,No video,No video,No video,60,0,1264,0,538,0,516,0,1707,1755,0,1761,4305,1038,1109,1409,1541,4166,279,182,1681,420,1216,67,No video,2521,756,3,806,0,1,0,1398,572,323,3261,0,1077,2973,702,2629,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,484,0,1020,0,348,0,769,730,1030,124,321,1403,63,850,2904,1478,25,4274,2953,0,142,47,683,4065,0,814,41,278,729,1131,0,1213,2913,2506,0,54,2389,458,2508,4799,1320,No video,No video,488,941,0,67,0,2125,1624,0,40,0,671,2065,0,2024,0,0,41,153,2692,575,3574,4455,320,No video,No video,4516,0,486,131,0,425,432,4391,3,0,925,27,0,1732,669,383,288,1289,485,407,1558
cam_6394836,0,315,1773,0,3,5,1291,390,163,1644,8226,7494,11782,9891,7841,5718,118,75,9321,2656,1827,32,1386,0,No video,227,2125,2491,0,262,50,303,4429,227,5129,9343,6377,4951,1644,6509,3242,24,2596,8870,4703,693,124,281,538,No video,No video,0,43,492,107,2022,1739,7929,10516,8566,6109,81,10561,9523,6434,4223,9184,3634,35,1187,467,0,137,145,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2314,3,663,1,1,3056,39,1196,339,4648,3686,3354,10754,1354,4398,3064,1285,3387,3198,1201,109,706,4750,529,No video,No video,No video,1077,432,0,223,0,24,127,4,1171,2,698,1810,4038,3274,206,388,539,121,1,1497,0,668,0,776,3,0,7,97,782,0,0,3,971,5,1129,1465,988,860,604,1157,237,84,641,No video,No video,No video,No video,255,0,387,5,25,4,26,192,0,9,37,57,29,250,827,274,2437,7,189,4,94,553,30,183,No video,0,253,3,54,693,16,5,57,109,12,648,173,73,484,756,38,116,830,242,No video,No video,No video,No video,No video,No video,No video,874,0,50,0,411,0,189,0,403,4,3323,0,701,2240,1210,0,2620,55,889,376,561,610,0,3,371,0,644,0,389,0,1259,0,494,0,1244,1490,0,264,2280,126,334,No video,No video,0,516,0,103,552,0,709,0,0,928,0,0,118,0,2,0,66,1074,859,1027,122,15,1404,No video,No video,116,922,57,22,27,476,0,63,0,237,442,1403,0,0,111,381,0,0,665,0,0
cam_6394837,22,37,9,202,18,0,316,0,2987,1208,4350,3668,5076,5233,2772,1086,356,3585,5662,1561,651,86,461,18,No video,800,1613,415,2663,3911,4638,7242,106,743,7253,4415,3993,6317,5257,1683,93,4908,2472,4241,2428,1353,33,25,1410,No video,No video,298,121,422,58,683,6816,3508,2448,3565,4964,4401,2799,2358,1714,2833,3358,380,0,184,1314,104,13,480,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1981,18529,5628,1884,24550,938,1077,3803,7619,4741,809,1314,643,1803,1715,549,1411,3440,956,84,132,1079,605,309,No video,No video,No video,860,1079,129,0,453,27,32,0,345,790,136,4028,2952,1726,1725,2043,13,116,720,3785,0,87,784,0,6,0,0,1090,442,39,158,471,4,1347,1672,1162,1580,1458,2646,2156,388,1719,291,No video,No video,No video,No video,283,3,585,0,0,644,4,7,10,87,477,0,277,676,389,748,323,67,857,169,1734,2204,3575,53,No video,1171,71,0,1838,0,347,1221,86,2004,502,373,0,167,1381,301,1100,2242,354,1190,No video,No video,No video,No video,No video,No video,No video,66,171,1806,26,895,0,27,666,0,4449,227,1584,1358,1984,197,1395,922,1418,1025,920,4309,691,458,695,889,314,43,22,2537,302,0,46,638,0,62,104,1054,1416,485,248,996,No video,No video,166,330,994,0,49,2761,0,2421,0,61,0,522,223,32,10,1092,813,0,99,1457,166,2808,56,No video,No video,0,465,139,311,1015,0,13,445,1,295,2466,36,541,0,611,51,370,659,515,71,2
cam_6394841,0,427,251,5,0,2,97,0,318,462,4484,3317,3707,2636,3266,1729,1091,2116,4188,2775,497,577,695,0,No video,34,55,7,222,0,30,175,594,1008,2953,4741,4063,3449,1585,929,2572,2276,3497,4036,1338,401,50,360,327,No video,No video,48,3,10,635,0,857,4613,4305,4028,2842,390,4208,2994,752,4078,5151,3501,0,0,112,0,0,0,110,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,123,0,0,486,5233,1221,2722,170,578,1725,2043,2042,2006,1979,1178,470,2976,656,329,603,311,294,197,1228,No video,No video,No video,3712,7165,230,723,0,4,363,187,0,443,826,844,1744,1597,1695,1495,504,454,1111,8,265,0,84,1019,44,4,47,0,394,28,2,21,11,1752,6,37,418,1251,1456,4356,2602,929,736,No video,No video,No video,No video,93,828,55,0,14,470,770,0,141,0,263,0,344,203,177,2026,882,2297,1326,1441,81,110,53,1093,No video,840,310,77,161,56,37,178,178,1596,189,0,132,431,6062,7861,2331,1724,1629,545,No video,No video,No video,No video,No video,No video,No video,3,0,191,0,31,53,0,435,0,5,0,28,52,410,824,3805,1654,762,795,363,150,894,328,1217,4780,4,21,58,329,22,0,200,83,7,110,13,919,12,3307,2939,275,No video,No video,6304,3279,420,11894,2531,0,128,1,1718,68,656,39,71,1966,246,31,16,9,40,11,1,761,851,No video,No video,1048,49,138,559,36,150,428,0,764,17,93,14,0,0,416,312,173,29,0,130,1
cam_6394839,379,29,273,259,14,26,1166,0,45,3383,6839,7303,7488,6620,2261,1396,38,1559,4583,4745,801,41,29,1338,No video,93,0,454,0,0,829,552,0,2067,4913,6107,10435,8369,4822,2155,6014,780,7095,7566,3234,8,0,1267,0,No video,No video,132,0,1418,294,7,5610,8345,8845,6575,6128,1674,3044,3314,4228,4068,8665,3426,156,0,1657,0,3,47,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,19,0,359,1263,0,144,12,983,1007,1623,1274,3386,3232,4489,2199,752,4641,20,2111,987,853,3475,444,No video,No video,No video,4275,1373,0,1252,173,59,824,535,0,454,2972,5189,4293,6018,4164,3212,0,1795,1128,980,265,2998,332,0,13,106,35,6,3370,531,0,16,1011,3131,0,5465,2965,10771,8773,82,4135,573,3181,No video,No video,No video,No video,5,1087,18,1356,123,420,0,206,3328,1,34,0,167,1637,3463,7913,5038,365,632,4755,68,525,1636,0,No video,13,3424,1247,0,150,0,278,1968,99,525,15,304,1238,4832,3892,3996,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,1669,168,1991,165,0,0,1976,0,1962,641,181,2854,7821,3016,670,3137,584,967,872,186,158,1004,0,0,2736,0,0,0,30,395,0,0,484,288,2714,3399,989,3461,2552,805,No video,No video,1598,144,0,1274,338,0,1374,0,0,560,927,0,699,65,0,873,530,603,1121,4037,3446,3980,994,No video,No video,1920,257,0,1515,1172,835,1,14,847,75,266,164,39,596,0,2477,131,385,4403,2264,1137
