,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,0,20,1176,4874,1402,6650,416,18601,11146,7182,4631,7436,5738,8375,6281,1549,2098,1234,6097,4870,467,791,124,4303,No video,264,1427,3554,5,5429,0,9,6728,174,8285,8602,6481,8300,5990,2635,8,3434,5470,8635,101,3182,56,1946,4039,No video,No video,0,5360,337,575,26,1869,5371,7297,3868,8862,3626,1452,3556,4068,19686,5659,7203,5134,595,16244,4870,27514,24791,5570,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,866,47,3196,5208,2605,3560,427,4144,14248,12347,18174,39535,25340,11106,14593,12437,4166,19960,10910,16724,29429,25979,9124,4930,No video,No video,No video,3485,1613,3968,0,1060,1283,3047,1662,3390,57,10412,9427,14140,4819,3845,8575,99,1,5953,10625,0,5068,51,2533,5391,2850,0,0,5113,0,3819,0,9840,644,0,3286,14063,16380,7375,287,367,10057,2998,No video,No video,No video,No video,2848,7846,207,3339,203,28149,83430,48198,97335,106985,47041,83550,88384,22925,12691,27535,92016,77506,54114,84850,94621,84076,65965,50057,No video,96249,92806,23844,92678,84427,106971,92806,77311,42890,91481,81747,75902,45435,33225,22139,49522,43825,9167,8218,No video,No video,No video,No video,No video,No video,No video,24224,15783,60454,No video,25732,23151,25958,42015,20930,39080,15378,9014,33297,32723,75302,33754,50803,37055,73047,51006,88371,84989,95449,100130,25014,107414,101662,107840,105739,23506,102641,84085,95057,73546,79810,84225,29233,75816,42925,95126,44494,No video,No video,32253,14520,44982,3805,21833,100690,88814,80408,99112,101103,96116,105664,98256,107342,32156,94464,102994,91003,71675,74727,97595,26025,71715,No video,No video,97536,100670,104831,76730,37143,107805,99772,94717,95212,106735,96950,69824,101474,95296,101634,99742,101822,100836,29824,34148,9496
cam_17202341,874,681,222,10183,658,3375,5333,0,12713,6430,14266,15867,10809,4685,14,8379,764,12678,19133,16194,299,0,4841,5199,No video,21,6191,3037,0,6948,1,207,16606,10290,16601,19186,12014,16362,12719,2637,587,7785,13836,20051,24584,6343,9837,18238,36815,No video,No video,6784,8303,35765,21286,16539,10499,17855,7655,14109,18130,3886,18734,41,17968,13987,27531,11947,9358,0,3960,21316,0,15,8518,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,5295,2030,231,210,12040,18,4587,5289,2684,6878,12581,13026,3113,26637,8430,22256,11846,20481,15077,10546,4629,4240,4681,1805,No video,No video,No video,9897,3950,3580,1324,0,1925,11460,0,7740,7387,10549,13201,13373,8471,8414,11054,0,7559,468,5282,141,4425,0,18053,24,4022,0,7105,5921,7192,0,14593,1218,11433,0,12809,21826,17326,3760,16098,800,4578,5155,No video,No video,No video,No video,3930,9673,0,15735,0,7155,176,6505,0,15685,0,4235,3866,11484,12758,16393,17668,6570,14107,226,12056,346,15090,2080,No video,17332,185,10878,834,0,13616,0,4135,12768,21,9372,6626,12501,21194,13341,25679,2242,14114,6645,No video,No video,No video,No video,No video,No video,No video,8368,0,0,2265,1238,4862,11499,91,8288,8105,0,6756,8711,21793,12270,8727,13096,12,1198,874,11060,7528,0,605,9532,0,0,11327,1496,0,9994,0,8045,16463,0,21238,15564,0,20032,98,6982,No video,No video,7678,6080,0,0,8929,0,10761,2487,9334,9831,14243,273,12252,11109,1514,142,13792,22787,12209,20989,6607,2283,8260,No video,No video,627,15126,4374,0,10425,37,10121,0,9096,5491,0,8955,160,20449,454,1015,5159,6470,14981,12876,0
cam_17202342,6181,54,6453,220,4621,3968,9,2936,4486,11031,10574,11917,14392,5714,1466,1471,3938,3616,5322,5275,433,5603,0,3573,No video,1282,2093,0,3888,3998,4086,0,4938,4824,10104,8428,4971,10533,5011,7752,4358,3174,2345,7434,3346,1674,642,0,0,No video,No video,0,1659,3795,1731,497,7783,3357,6631,2844,7461,7744,3298,7156,6346,5091,8243,4903,1378,0,2751,0,2015,60,2558,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1466,2681,626,1,5129,4794,3008,3398,4951,2446,13768,11797,8935,13943,7053,3281,8412,13684,2227,11837,758,3167,7213,15,No video,No video,No video,6108,5285,940,487,4202,0,2016,0,1986,9196,10539,14108,8711,15390,6094,5067,3343,3619,2031,3411,10525,324,8557,0,7416,0,5042,78,4479,0,2001,2825,1077,1543,1527,10138,10183,10250,10000,4097,3905,9667,5550,No video,No video,No video,No video,6837,4861,0,10857,2924,6546,17736,0,9505,6391,7066,290,14484,9687,11142,6105,7589,7355,5653,3238,3282,27,2687,3,No video,182,5407,2593,3725,0,5522,5698,5385,0,9384,4160,7501,4650,3003,3048,3507,7042,10186,4103,No video,No video,No video,No video,No video,No video,No video,4592,0,10325,10059,6674,3810,12156,5119,3616,772,10886,3185,2814,200,1926,2524,3229,3886,8602,351,5000,2745,1396,12099,3559,16284,7509,0,7114,5769,0,8097,3815,1159,4654,403,1451,0,5157,8283,9846,No video,No video,4110,3103,0,4297,6036,9606,416,4662,7879,3502,10295,5353,3405,7783,3871,0,4980,5296,0,10283,9,7282,3648,No video,No video,1715,0,2335,6746,4378,4483,5433,5419,6257,5442,7491,257,9084,6760,0,4805,2420,546,1,2583,136
cam_17202345,0,104,3902,19,0,3523,84,24,8486,4026,24893,28799,40619,33394,47697,12866,11266,18411,47903,60435,3970,13121,9406,1,No video,0,3370,17859,183,3542,317,849,2902,40940,40660,54339,47959,49948,45997,20518,845,3595,42750,50226,19136,0,9244,184,0,No video,No video,103,75,73,13507,126,21982,37131,53552,47310,48127,59641,40924,0,47,28441,46410,40433,2559,0,0,0,4367,500,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,4199,5288,1,1087,3,1678,88,14901,465,2124,23214,28983,38770,64153,58379,63339,48811,8644,12780,5,21552,0,19910,3968,No video,No video,No video,19368,15447,358,10,7897,0,588,0,0,4952,2352,16095,58807,58936,65603,28878,1008,2604,11490,18,21919,0,13,1613,0,0,0,9230,9693,0,10,2978,756,0,21893,11,16485,77570,72620,54293,56296,27747,83,No video,No video,No video,No video,0,65,2838,0,0,12,5,3728,1945,0,27,31,2482,0,950,32374,44004,38103,16714,142,3554,13631,0,0,No video,24,4377,13396,0,0,0,0,1103,18114,4634,1049,36,6,2015,11206,34823,50228,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,317,6528,2736,0,2234,204,0,83,1094,34,3798,0,1607,17023,4644,15593,5774,0,2452,1769,24231,6116,16,0,3689,0,5427,1162,13053,1397,0,7719,229,1488,745,2616,2093,1854,1661,24677,No video,No video,2293,6011,0,0,1963,0,2942,7874,84,361,0,3219,5537,0,0,490,2256,0,34,4318,274,2888,3475,No video,No video,1046,1771,20555,7,0,3,6957,6,19795,8909,0,6754,2246,17823,271,1784,0,2851,3058,3979,2896
cam_17202346,479,277,2280,1025,0,7424,3560,9052,35351,10537,29342,38358,39355,43285,40286,6006,2178,5065,11135,48518,25635,2742,89,420,No video,573,13,3813,61,1385,9793,36,409,36058,41053,39222,47417,46083,40873,8454,1322,6445,41480,50608,18499,0,2550,0,441,No video,No video,6,2,4167,5,2006,25280,35224,34510,43366,39458,25561,3847,3745,2442,33106,39863,24615,301,119,505,2536,1249,49,1,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,264,3461,9,319,11,1686,720,1047,1135,3548,14021,19441,21821,31666,25366,20423,13182,27041,167,34595,1246,18887,0,13564,No video,No video,No video,13258,13723,363,1923,870,29,4711,3361,5,277,6315,18102,22566,28198,34886,24094,0,11290,6182,1972,2220,3929,0,27,89,4190,1050,0,0,2597,0,585,10669,6080,4895,958,11617,25727,51821,38612,23969,3285,3325,No video,No video,No video,No video,0,0,3065,78,0,0,0,4167,10035,18076,490,17,12,7396,27930,15960,41992,40096,20785,17967,0,4729,12925,37532,No video,47,0,5651,5021,7084,3881,26189,13068,124,5931,3320,208,3273,4470,No video,39267,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,178,906,0,152,1034,7373,13515,6,1635,1421,553,6820,2995,6869,17296,12066,13230,782,815,7105,4890,1549,12201,10477,8052,284,12271,6360,954,3772,13251,0,2957,7100,0,4583,516,6444,2199,6966,4935,No video,No video,3958,0,2,2199,0,0,5046,0,2790,8870,11202,833,0,6552,8753,2484,698,259,2,1769,4929,11860,9889,No video,No video,5503,6464,7802,83,2773,3,3203,1831,1960,334,20196,5195,5921,42,469,8417,123,5754,344,11266,154
cam_17202338,6451,9,1739,773,6454,0,8657,1802,12577,11595,33665,33203,45838,51443,42539,9196,97,23886,48106,49078,5860,0,43,9101,No video,1604,118,3,1044,99,42,23078,50,23852,44758,51303,42064,47005,43850,11210,460,8479,35703,52012,55070,967,3622,601,131,No video,No video,64,344,298,79,5998,35727,40573,50735,44733,24437,34792,3745,0,14409,24533,59098,46343,2781,625,2436,794,3131,0,1051,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,29,806,6,20,14492,0,3795,11219,11098,6102,38097,7363,56046,32625,59075,17705,2387,38474,6327,45279,10000,36,7410,No video,No video,No video,6099,746,0,8301,0,8115,0,6658,6826,6027,17314,17222,12288,18835,23224,21110,10623,89033,20555,6077,0,2535,15270,0,0,7205,0,13047,0,7400,6966,3141,16475,9725,5777,3986,27665,3164,25822,7756,15462,6758,0,No video,No video,No video,No video,453,0,10113,0,35336,8756,6652,351,9745,5483,0,7528,10879,4053,13721,25037,6104,24952,5982,9121,22933,10551,167,5614,No video,21950,3170,239,9070,0,8077,135,10390,5721,10681,31517,0,8515,14200,4558,28467,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,244,0,19502,0,8428,0,16482,10608,2467,8530,9251,7896,6754,18486,21063,5826,977,23224,4546,0,25297,489,18806,14846,2,8736,0,354,14522,12252,0,10649,12421,17122,0,7922,6121,4901,19972,14986,14261,No video,No video,2255,10042,0,13045,0,22903,1686,0,7452,1433,11124,11608,0,16370,0,0,15106,7957,19085,3787,11634,12043,204,No video,No video,4030,0,8167,2566,0,8770,3570,13300,6445,0,13319,2401,127,24776,9153,6991,3224,13378,5629,21840,24651
cam_6394836,48826,17231,15519,18471,56153,53232,39228,55273,17991,21651,26228,34692,30354,29689,40473,14416,13355,10260,22763,13737,2159,5,926,0,No video,16,2329,7705,132,30,12,0,12579,235,15648,16413,23387,9549,2517,5223,2570,32,5568,15340,5755,24685,1447,23650,37825,No video,No video,14,7916,15400,5462,5120,4617,15653,22820,28429,17547,431,23849,21701,3217,9728,18773,16161,9572,2028,927,26880,3010,1056,16018,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1310,0,0,0,0,304,0,725,339,21172,5771,11091,15558,18506,15525,7231,4924,8371,15992,2706,188,3022,11597,92,No video,No video,No video,17376,11705,917,2296,4,5102,6368,13493,14190,32,13792,13301,24544,14047,76716,33635,10643,6090,41,7245,20146,4541,5887,10012,1878,20,1741,7719,17559,30907,37800,13101,53941,10690,2480,1672,13704,12041,18566,21548,11543,74029,17691,No video,No video,No video,No video,5572,0,8205,0,5119,5,4365,2444,0,5715,2520,618,2492,4183,7329,3523,12620,928,2026,1943,10592,6159,5144,7612,No video,0,7466,119,6400,1099,636,2650,1709,11946,17496,12413,7748,10219,18112,15068,3659,1478,12933,1659,No video,No video,No video,No video,No video,No video,No video,5360,9298,19569,3286,6504,56876,32736,24597,26183,23117,15257,91493,41983,18668,11409,5860,16346,4468,7036,7772,14472,10313,370,1625,5457,1699,9536,16,9970,58,21874,46712,8139,575,7965,8915,6761,24196,22947,6755,29358,No video,No video,54195,17627,23374,13673,5653,555,11372,16786,60817,21219,105832,97324,71728,107833,97153,107813,92498,74874,56351,25583,14970,19339,10862,No video,No video,20521,21043,5152,6655,5190,15500,1027,15790,12219,13364,26467,40794,107714,107840,104789,72743,98096,64337,23259,36245,35375
cam_6394837,29,176,101,5498,1080,2130,4825,897,11811,15413,47832,56717,59678,47103,35935,14050,786,20024,35773,28111,1235,0,305,0,No video,6,3523,236,194,392,0,8881,0,3372,45429,47500,65031,52788,53985,15477,0,19602,15220,56536,31556,72,0,0,742,No video,No video,178,0,5045,0,1,15177,53076,68628,64249,40652,54670,37688,16191,10494,39767,44938,3653,55,110,1763,91,0,2937,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1809,3,12,291,2904,65,0,991,1598,5023,2812,15547,2330,35312,9520,444,43993,38899,28838,81,13441,292,39871,16609,No video,No video,No video,8842,7536,1890,0,1874,4274,117,2101,3409,2125,2466,25178,22167,3948,9740,5139,154,84,9899,8697,0,80,7555,0,3178,0,0,8505,88,8586,2495,3873,153,12981,14706,9082,13848,10778,40725,17926,6084,2703,4755,No video,No video,No video,No video,320,0,12745,0,0,9767,0,0,1395,5834,6252,0,7668,9181,19582,13040,15425,6747,6096,8851,6272,2884,15776,1657,No video,3874,3303,0,17380,0,5423,430,0,2167,5546,7362,0,8177,17656,1859,17468,496,301,6610,No video,No video,No video,No video,No video,No video,No video,6732,0,6595,0,6992,0,55,3681,0,11534,0,4879,11058,7942,1844,3483,3963,1608,4164,1681,2832,6684,1380,0,3663,3185,2479,0,1942,3706,0,468,8195,0,5544,4837,12326,17016,215,6535,3422,No video,No video,1122,6906,2928,0,4021,4401,0,5366,0,773,0,16192,1534,3374,0,7917,9087,0,8879,7568,0,12465,0,No video,No video,0,765,396,5028,3110,0,5829,2873,0,4647,10850,0,3040,0,6730,3257,142,2740,3061,1161,7
cam_6394841,0,6699,858,6173,5756,7070,14265,380,12622,7431,3133,4078,14929,7445,14641,3415,2451,1675,4912,3975,1382,7,4664,880,No video,5597,8658,0,7182,103,6548,7387,6277,5286,12516,6493,5086,2187,8872,4819,4839,7387,5624,2703,3515,328,54,5918,93,No video,No video,3825,1296,7011,5765,2973,10554,7208,2594,2110,1576,155,2743,3999,946,4422,8318,10437,203,3567,1969,2,16,3993,5156,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,836,9,0,3917,3941,0,9,0,450,1791,1794,15232,16126,48619,41972,8125,62242,31916,11283,59624,8208,15393,4698,3893,No video,No video,No video,17419,5283,9183,4947,1,960,2786,6425,169,5609,15672,10591,31571,39821,27082,22399,450,7458,31345,15314,9698,17,4968,60381,7621,12618,67530,11,3898,193,38117,8314,19377,20255,515,9617,19841,56357,56228,60382,51165,19907,4537,No video,No video,No video,No video,178,8,0,0,4,1609,7116,0,101,0,570,23,4406,9486,12945,31423,33558,31159,5237,3128,818,620,595,2098,No video,4946,688,5151,5944,6,8688,6193,7291,16442,3305,0,7286,12265,14834,13179,50757,61062,27658,9146,No video,No video,No video,No video,No video,No video,No video,2103,3764,2997,0,3103,6727,86,6272,0,1859,0,4614,155,6504,28113,38830,24137,10652,548,8817,13756,10799,0,1696,8791,0,0,2358,15687,5302,433,10233,261,607,2528,3469,12713,6693,16297,9822,1458,No video,No video,1546,13582,1953,210,10034,0,6921,46,10072,0,13814,3356,10871,16633,1268,8292,0,1893,4259,2566,257,18425,1068,No video,No video,26656,12434,2022,5649,5449,2352,3256,571,25712,67,3332,6595,202,1878,2382,17005,61,4722,415,11642,504
cam_6394839,216,86,3289,2056,7,9,5558,10,24,31369,63566,58018,50458,41694,24283,12415,0,524,27285,22228,1129,0,1,2638,No video,921,0,471,0,0,2869,1652,15,16976,49551,45446,44001,39559,12127,6531,20216,3030,40936,25163,16927,3,558,501,482,No video,No video,3625,646,6047,621,39,21423,44253,43573,43455,36023,12412,11935,12070,6509,23190,24680,14248,7,0,604,0,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,13363,493,52,3255,2809,3058,255,374,3581,3628,9986,10865,29709,23080,24167,10891,1319,36761,3,18206,90,4962,21794,2399,No video,No video,No video,28509,19286,29527,4812,4287,22768,10598,1748,621,2321,14211,31562,29200,38759,24489,25863,415,8775,139,20776,8534,8020,11349,15208,176,4201,20002,2397,26878,14636,15935,14791,2558,22231,22110,25102,41770,46445,37557,1964,32076,28560,27503,No video,No video,No video,No video,178,128,2,637,48,280,129,161,9742,2412,474,24,7104,8050,27557,34817,17717,1133,534,34945,323,364,6603,59,No video,1,8187,11221,0,3210,0,50,11237,41,8325,4443,1553,4921,23549,53363,59855,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,35,543,569,3491,1624,0,8,3387,0,34,539,838,30582,33688,31440,18911,13448,13182,23233,3092,5217,1206,371,214,1176,6233,29,2463,15,127,220,87,0,0,112,1094,32498,20185,42294,38332,7691,No video,No video,6946,151,10,316,183,3,20960,315,722,57,4231,172,3419,10,14,716,201,1424,5638,42033,41229,24638,7088,No video,No video,23009,4784,111,324,7167,2670,47,117,5864,140,5122,3126,3168,4357,642,3611,4127,2016,18796,20942,8025
