,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,1313,1428,3971,4055,6341,12219,7538,9253,3992,2908,4019,2222,4528,2133,1054,643,1779,939,2861,5923,5375,3656,1571,8165,No video,1391,8455,4941,2328,12092,2826,8108,6004,20,4350,3203,2179,3826,1622,1320,2,946,1280,2882,657,10966,186,11493,11282,No video,No video,954,12947,10197,7634,6506,163,2065,2929,961,3088,1251,673,161,869,8970,2029,4054,19903,12980,14497,12598,46341,17098,7133,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,29882,7165,31260,1988,16634,25664,4628,25502,28521,38753,32328,32337,28355,10328,14394,34928,12698,25113,38629,37777,16239,13725,28835,9582,No video,No video,No video,1989,3194,1152,0,62,363,643,1325,777,355,3688,1806,4456,3961,4878,3449,713,185,7058,4799,1,5244,4642,854,1305,2349,0,1,2102,4120,2052,56,1627,2738,1396,3442,2981,4938,3025,1300,252,1985,1123,No video,No video,No video,No video,3767,20862,1209,6509,4790,56376,22951,14317,10241,345,54809,12902,10827,10771,24408,3551,1937,2847,4158,3202,1085,4522,9802,52119,No video,9350,10971,7621,9147,21894,832,11297,30519,7098,4703,19721,28026,12322,9816,6494,17780,3936,45143,10830,No video,No video,No video,No video,No video,No video,No video,65595,52600,44499,No video,46591,48667,44968,27361,32853,56159,63976,73763,38988,14335,16114,14742,39258,48009,24971,19032,7973,4987,5558,1290,12351,0,2643,0,0,9917,302,12960,6261,16444,15669,6925,11828,5232,3837,1925,4729,No video,No video,74234,81598,24910,80967,51844,4193,18251,9593,2574,657,278,19,107,0,3200,1953,882,464,7973,5833,2325,9656,2506,No video,No video,5177,3959,1152,4768,6255,0,2921,1667,259,31,5094,6150,1251,1791,478,2397,1093,2763,2921,50595,67870
cam_17202341,1106,895,160,3788,760,3795,3610,27,9612,3437,3249,4894,3047,4882,45,2137,283,3244,5159,6505,1399,90,1599,1177,No video,531,2539,4519,300,3366,0,402,2187,3631,2288,3699,5043,1495,2904,3798,69,2369,2808,5683,738,12605,6277,7631,3346,No video,No video,2505,94,17,656,1739,5680,3131,2923,4451,5642,579,3683,890,5362,4038,8628,2757,3080,0,4167,0,15,4,4165,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,3234,0,43,20,1633,0,582,2653,1557,2741,6114,7100,2704,3362,1555,1103,2125,2507,6089,4737,944,3660,1553,531,No video,No video,No video,2432,2643,790,678,0,920,4172,0,3559,3962,3382,6416,5726,4166,4375,6081,8,4035,752,8972,1220,1994,0,6686,37,1299,0,2265,2453,5935,0,1903,329,5125,0,1519,9163,5130,2441,5087,228,213,1058,No video,No video,No video,No video,950,1611,0,5370,17,986,0,5857,0,3366,0,1214,60,1273,2952,6864,6396,1913,11840,0,1374,718,1751,743,No video,1849,45,5757,93,0,1776,28,261,1923,108,2702,715,2130,5833,2224,7014,1910,1975,734,No video,No video,No video,No video,No video,No video,No video,5799,0,0,468,449,864,3608,0,952,3365,0,2783,6263,2313,6506,6035,7206,65,8903,60,1726,1635,2,63,10294,0,0,7380,500,0,4533,0,635,4834,0,4505,5632,0,9695,2,4469,No video,No video,9178,1898,0,6,2771,0,708,616,1175,3001,5600,209,3320,809,23,76,2823,4552,2324,8195,7401,112,4627,No video,No video,216,10586,1029,0,7217,1357,5629,313,4803,2791,0,3914,52,2328,54,253,741,17423,4178,8920,3
cam_17202342,820,36,10724,4334,7297,11454,9801,9116,1524,5114,7164,9054,6873,5090,231,414,3383,2716,4379,4726,2021,3484,2,2116,No video,3558,4533,151,3519,2559,2554,251,1266,1913,7520,7183,4884,9938,8448,8077,2273,5236,15364,5292,2517,2503,2248,43,0,No video,No video,6691,2239,5335,8554,889,6063,3124,7257,934,1927,2448,1489,1332,2118,1746,2949,4177,8930,2290,17297,2243,12990,8100,8004,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,4519,2930,691,30,3590,1007,899,2522,9805,1493,6844,8590,9739,8570,9352,5143,15245,21294,11360,11432,1757,1788,8034,108,No video,No video,No video,1678,514,30,368,3391,0,1565,10,406,1979,2067,3921,3737,7361,2981,658,2422,2889,856,9437,144,220,417,2,1091,0,1470,67,2761,0,952,270,120,356,19,2078,4947,4354,3238,2888,1514,1561,541,No video,No video,No video,No video,638,394,0,67,17,26,592,0,457,121,2129,5,1515,487,1472,2974,6436,5164,2219,2454,248,4,143,103,No video,32,2239,835,1846,11,4534,37482,1257,6,4458,179,1475,4397,365,513,1744,1725,3913,683,No video,No video,No video,No video,No video,No video,No video,2501,0,5042,4140,2145,993,794,1739,2609,302,6814,2994,1453,784,1292,2087,3129,2198,6563,508,1466,357,408,3933,1045,5165,3075,81,5043,2537,47,4770,32990,2737,3456,59,685,42,1972,2871,4092,No video,No video,1490,1564,0,788,1702,2947,769,2272,4561,1709,3299,2445,2298,3368,957,409,2442,3655,747,4104,608,1288,965,No video,No video,1485,64,1627,2763,6068,1156,2460,1313,1104,2277,1164,29,563,663,3,1272,1917,681,126,2654,38
cam_17202345,0,2471,2178,523,1,3726,633,2053,8347,3930,5038,5551,5052,5715,6637,9809,1827,3469,10228,5723,1705,1596,4370,8928,No video,4574,3532,7044,6,3653,302,1689,3204,8848,8174,7329,8852,4892,5952,5119,1272,1946,16890,10630,5510,6,6585,5466,355,No video,No video,641,564,1278,4844,664,6259,7006,8631,10216,12781,8804,10408,27,50,9551,9967,7588,2661,4,175,77,3549,3380,553,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,6407,3958,194,9939,21052,11306,24716,15249,8230,13637,14605,15924,10927,9123,8956,7257,8749,6578,20668,861,6963,668,15395,9425,No video,No video,No video,1322,3402,313,1865,1999,0,203,0,7,4531,720,4999,6992,6133,6496,5874,969,1528,3279,582,6292,37,110,3451,130,112,0,3574,1973,1,10,2306,94,0,3127,164,3878,4127,2933,4866,5739,4986,10,No video,No video,No video,No video,354,158,436,25,255,50,139,1065,2329,785,837,1710,3913,507,4457,10955,7606,7146,5812,155,1683,6505,4,98,No video,39,5073,5806,511,4074,1847,765,4092,9907,2135,872,83,36,1741,8148,10956,10807,No video,No video,No video,No video,No video,No video,No video,No video,No video,228,392,3514,6132,95,4107,314,114,243,4051,1822,10330,1301,5506,18627,12652,12315,8447,857,4458,4868,9592,3252,199,58,10252,299,7234,7228,9449,6125,103,12231,6566,8330,3959,1743,1275,3189,2691,15450,No video,No video,1551,6197,397,23,3459,0,5049,6289,1035,3583,7536,8053,6855,1689,2458,2239,7987,1581,8516,10699,7451,7897,13237,No video,No video,2329,12845,7699,2671,5745,533,5432,7296,7005,8471,1,5583,5429,9075,862,8533,46,8911,4993,5713,4865
cam_17202346,1397,2251,21396,398,1,2289,34678,23983,8222,2753,2637,1823,3174,4193,3513,2667,136,876,1905,8091,12141,4452,1997,2667,No video,9345,16423,22237,4786,1168,4897,255,3058,11999,5633,4380,5134,9328,7162,1591,122,1036,9372,6336,8891,178,8516,0,933,No video,No video,22,194,2581,30,228,6065,11211,9121,10375,12026,13330,1580,6129,3863,13549,9365,8430,999,17,3157,3067,2750,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1933,2684,1337,303,979,4024,8149,2009,1157,6212,13580,12876,7378,13810,12982,6125,9953,11145,1794,11204,4326,6712,11,16130,No video,No video,No video,3562,3792,280,1961,872,83,3620,1571,43,924,4218,4536,9506,12023,8862,4675,0,11057,2716,1,4470,2570,0,56,461,3137,3782,4,113,6425,0,2877,5307,376,48,714,6911,11987,11789,8121,8578,861,3532,No video,No video,No video,No video,0,622,7117,1971,0,608,156,7587,12191,408,1696,1562,2005,4199,11070,10609,12093,12098,10468,6570,1,8314,0,0,No video,123,410,8272,1819,1171,3238,8,13887,22858,34787,3547,323,5352,5352,No video,11821,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2242,10133,31096,2477,4696,50,7518,530,2357,1410,795,9448,3398,9614,12683,9608,10182,3592,5180,8167,19026,11124,3416,20541,5182,52631,19583,9993,18476,6773,19951,0,7130,8495,0,5717,1321,10066,6906,7244,5395,No video,No video,8725,0,0,6226,0,29,13840,0,4519,9532,12571,635,0,4138,491,280,1125,37,0,5125,5778,16357,11825,No video,No video,10248,4898,12373,54193,35011,219,14681,3428,6844,2978,13965,6933,5325,552,20736,5194,281,4671,121,6731,3254
cam_17202338,9056,4983,908,1407,1783,109,2701,2080,4529,3142,3017,4605,3584,3175,1637,1087,0,3561,3047,3175,7967,49,5677,18956,No video,3670,5607,1426,7027,9173,8589,12168,1257,2438,1714,3417,3126,6111,3824,1474,279,2500,4325,3876,3992,4548,18712,4986,3016,No video,No video,4478,6967,2867,4672,7986,4343,6190,5284,5461,4077,3952,3743,2608,9340,13132,5316,6921,7025,2042,7598,708,4053,444,1297,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,170,11491,8003,4104,4073,20318,10,8490,8120,16476,12014,13513,7117,10565,9305,6243,4030,7401,13525,11732,6057,8379,14653,13723,No video,No video,No video,3282,1024,0,3496,0,10153,0,2507,325,3426,4617,4775,6230,10430,3951,3790,5754,0,4231,3523,0,1234,4844,0,0,744,0,8410,0,179,2143,455,8420,4227,910,5477,6097,6029,9973,1557,7406,6079,170,No video,No video,No video,No video,268,0,5163,2,2658,0,4790,512,10734,6160,1667,17821,5875,3286,6486,8335,3483,6782,362,1846,6665,2571,275,3575,No video,9484,6201,34,12280,0,3086,17,8231,3497,3556,10671,0,12494,15873,1795,8586,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,482,0,8814,0,5771,4,5366,9371,2486,3151,9358,4666,685,3742,20623,4920,276,10239,3373,0,1171,5715,25719,9156,0,5391,58,2192,4932,3390,10631,3521,5345,14457,4,1968,18360,1785,9003,10446,3083,No video,No video,1866,4020,0,3371,0,9621,2586,360,2079,411,2325,4441,0,9424,0,18,5634,3442,24221,4068,15126,5319,583,No video,No video,12067,48,9445,4621,0,2700,4514,12994,3723,5,2053,3443,8,13953,3056,1542,371,3991,1346,3383,9372
cam_6394836,8601,10419,17696,57016,19186,30242,23796,24495,521,3093,4881,4948,6121,5111,5403,8139,8560,14890,9301,21314,6466,201,2437,2299,No video,3880,1944,5955,88,716,720,4653,10129,1719,13425,5838,10656,6692,2401,8242,3172,593,9270,12990,8777,4061,3113,8581,5080,No video,No video,16463,737,703,1142,3113,4480,13877,10946,8155,8379,299,14559,9573,3409,12953,7995,7342,5574,12387,3424,36725,2560,1104,974,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,4400,7,1133,66,509,5214,0,300,402,13066,12113,15898,14511,40109,8968,7933,25107,24509,8147,4543,4904,449,6676,787,No video,No video,No video,5078,13134,38416,7056,11612,13180,8363,3164,26611,639,18206,7228,11873,10533,8185,39174,34086,54003,18782,33254,8169,13626,2041,16632,6926,449,9942,8461,9610,16265,2841,11313,19052,5384,2319,20668,9951,19017,14568,20242,49726,14577,31574,No video,No video,No video,No video,2889,230,5497,0,7721,0,4284,524,0,8396,9426,8364,2045,4890,4479,3995,8876,21263,2059,639,5733,4237,1585,3016,No video,0,4023,59,2591,323,170,1536,1806,3567,1926,9464,5879,9304,17906,9898,8715,2345,4185,2449,No video,No video,No video,No video,No video,No video,No video,8233,240,9954,63945,31745,38534,50738,82327,34950,23727,19788,15644,36290,25352,2239,6669,12667,5474,7455,45143,13053,11234,9974,49536,40472,27,10014,5372,64978,99183,22404,60452,81646,101703,63322,8514,2391,15076,18222,47320,10804,No video,No video,46,7458,0,3822,4996,12,15992,748,1834,8773,296,8584,16532,1,215,0,8429,18099,10297,16398,2213,2433,12560,No video,No video,10728,13718,4849,8944,508,19462,85,30174,79594,35263,28514,9547,14,0,368,15202,9464,33855,11983,5,6114
cam_6394837,3426,6554,1382,10810,5960,1945,9271,4691,10644,11878,4486,3905,4328,9361,4048,3973,436,10202,6385,9685,677,57,853,942,No video,3884,3919,844,1314,1080,51,10284,52,7796,6111,8047,5233,5024,8084,6547,1288,14377,6232,10815,6619,673,38,19,3715,No video,No video,248,117,2401,64,11,9606,9506,5058,6194,9596,4116,8635,4402,4283,9832,6393,14372,10790,6892,4027,390,0,2349,5,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,3304,0,5552,3648,2888,505,770,3801,5613,3227,2804,11774,6502,7911,3925,1789,12527,8772,7478,585,5502,657,6738,2882,No video,No video,No video,2745,1567,178,0,925,3758,0,1558,4284,1251,2702,7162,3713,1419,6672,2960,26,4,3216,3597,0,7,3783,0,2230,0,0,5193,1099,2792,1162,2598,103,2854,2370,2475,5051,7243,4448,6160,461,823,2116,No video,No video,No video,No video,232,0,3927,0,0,3149,0,6,4250,5031,7406,5,13465,2854,10348,6764,5672,3520,2325,5406,2176,637,6424,124,No video,1577,3018,0,6344,0,5027,1554,39,5764,3331,3798,0,6595,7341,3481,9034,317,93,5869,No video,No video,No video,No video,No video,No video,No video,5790,0,5696,0,8663,0,0,6228,0,11129,0,3861,9682,6443,1876,6637,4560,2899,3485,3211,1208,10428,3684,1,8224,2176,7533,0,9823,2130,0,65,10147,0,5156,2297,11777,8394,142,6165,3850,No video,No video,1667,10786,2332,0,2875,1881,0,4105,0,264,0,11538,2428,4237,0,8578,9948,0,7536,5258,6604,10572,11,No video,No video,0,3037,278,6772,3604,0,5762,2600,0,6074,12596,0,6869,0,8002,4930,113,9368,1985,776,1782
cam_6394841,98,2619,543,788,951,2560,2099,259,3730,3340,1490,2161,3642,2571,4777,6411,4715,2740,7802,2181,3977,439,4799,983,No video,1773,2566,126,1416,8,1902,4055,2114,3530,3897,5629,1015,1457,3733,1616,2331,5740,3084,1373,6302,1132,2093,1987,5470,No video,No video,1969,1012,4552,3627,797,2635,1495,1360,2283,643,1848,1166,2222,261,4298,3108,5762,101,550,4734,0,1859,3124,3954,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,930,3,3,2229,1835,219,281,90,1106,5509,6782,10380,9975,11702,6416,1864,9024,5524,4967,6320,632,3009,3418,1156,No video,No video,No video,3176,4144,8,2872,0,258,490,1294,0,4962,6334,3399,3990,4361,2044,1955,294,3321,336,116,2797,0,3918,6803,165,1551,1802,0,2637,7,1551,2844,35,7427,258,8177,10423,6758,5328,6874,5133,1037,717,No video,No video,No video,No video,8,782,6,0,0,655,374,0,47,0,1017,0,5,2994,6926,4316,3339,5646,2867,1595,339,462,541,3640,No video,2034,1095,1172,2968,0,1748,1935,2668,1048,914,0,2575,7964,2749,5158,7961,3192,1617,668,No video,No video,No video,No video,No video,No video,No video,2,1364,3066,0,2433,5445,0,1235,0,1682,0,696,1,111,1423,3334,4760,556,997,2053,1527,4826,2,77,2836,0,0,968,2485,458,15,1922,708,0,138,264,1643,510,2560,11190,346,No video,No video,7187,4154,2068,84,6658,0,1762,4,688,0,2964,1343,1949,3157,341,817,0,972,3341,1060,30,3498,246,No video,No video,4801,835,38,3523,905,3009,2247,13,2568,3,196,69,1810,385,626,4311,12,248,10,2753,53
cam_6394839,194,1,1120,5187,1664,29,853,1585,35,3623,2522,3478,5660,7605,5033,3246,74,2555,5763,4763,929,847,970,880,No video,59,7,3767,57,83,1245,2628,3151,1507,5283,8753,9165,7953,4958,3289,6614,2404,12932,7919,4642,5,6,865,0,No video,No video,2116,37,2700,1543,2064,5448,6643,7819,14215,9971,3687,2140,6600,6145,10433,6656,7284,119,914,6405,4,39,11,8,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,23,0,1301,526,3,69,0,3625,3453,6363,11891,11824,10947,8550,4243,2215,14445,776,9694,3931,3595,6590,1897,No video,No video,No video,2389,4558,0,2638,132,51,559,454,1411,3067,5351,8344,11275,10578,8057,32668,2539,8790,1597,967,454,4505,1088,43,8,93,247,116,4711,1045,2,26,2084,3093,0,10800,6805,9573,10895,51,5008,1013,3252,No video,No video,No video,No video,3864,443,0,2741,708,1371,150,760,5740,37971,21217,4,24490,6239,10146,18876,10387,11575,24307,13295,10330,238,17212,29824,No video,39830,4325,4232,12,5033,16513,15823,12630,399,6502,6048,4213,15892,21479,15065,11852,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,320,515,3199,146,0,0,4006,0,1611,1989,320,11646,12123,9545,4930,11064,9363,10021,1025,34,1380,4614,0,10,5844,0,0,0,277,70,0,0,74,313,1419,12402,5921,12960,14324,1199,No video,No video,2968,299,0,1127,0,0,2231,0,0,221,2626,0,1507,4095,0,203,3,78,1573,13956,12381,6811,3290,No video,No video,10567,2114,0,1102,8953,4039,1136,73,3176,156,222,6,4442,500,0,2373,308,75,3180,7818,7517
