,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,170,3035,5920,4071,14896,10314,3733,20714,25176,36661,22712,21179,18126,23823,21024,17632,3616,3462,17380,23463,2543,1980,4595,9043,No video,486,3067,1918,853,10745,328,7751,19272,21529,34073,25084,31049,31578,16393,24135,5768,20717,34536,24591,9987,7645,594,7886,5353,No video,No video,10241,13441,7668,7339,10849,33955,27233,27221,40945,23416,34738,32998,57107,43882,40289,36892,22772,574,880,7991,682,148,1482,346,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2645,16,1114,12,571,3535,153,1920,3284,1491,2303,4424,4430,7073,9894,4951,159,3665,3855,3492,1908,1870,2450,2731,No video,No video,No video,19125,31384,14114,3597,10711,4269,10847,27612,21271,8647,30711,25529,8444,19651,11304,17890,15764,6629,23428,9920,531,40210,19022,18075,23648,9225,347,4533,12627,17905,19812,4377,10304,9980,34218,21513,10536,12728,20379,14725,19578,16601,20048,No video,No video,No video,No video,1536,9912,2307,13637,11274,3657,389,4258,169,272,1336,1252,757,3484,12663,13766,1947,4258,2948,695,470,327,2392,768,No video,300,629,4474,1440,290,6,204,2,1573,275,826,597,6692,4756,1953,1317,4944,7361,10904,No video,No video,No video,No video,No video,No video,No video,8823,20526,2181,No video,16417,16295,23006,10218,10115,5289,10585,14115,19614,5913,7678,10192,6028,10786,3412,11483,4390,7062,2364,4143,3983,0,4,0,26,4620,550,1358,1990,3057,2678,5758,2696,7889,4521,5846,39786,No video,No video,146,1406,854,486,6702,83,3,683,407,9,92,0,99,0,3483,1041,135,216,1975,896,244,4295,1320,No video,No video,685,317,335,2561,4120,0,50,113,157,52,76,2949,1,72,174,140,94,112,1684,3194,2938
cam_17202341,3654,7642,2872,8456,1210,5182,7723,517,22510,75180,12725,11631,29463,10654,29187,29258,37067,39190,15509,12054,19830,1216,8834,21466,No video,80738,37079,35875,71009,63588,35054,48224,62659,46742,28912,22959,33007,20277,20484,37167,58531,30634,27545,10474,37109,56190,91367,80323,32992,No video,No video,20849,62251,70824,76805,79124,15051,20274,56919,7402,11611,66415,38611,12648,14185,20376,11789,23283,76059,101674,89369,71806,82515,59682,31781,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,30387,14338,6949,27262,25757,64919,39606,73908,69994,85532,40660,41296,71796,11273,33487,20794,49620,66661,20374,12206,11292,9235,19536,18916,No video,No video,No video,7521,15182,50106,75833,24477,13630,22091,107143,60742,82937,10930,16808,76565,8412,12703,20298,2797,3900,46338,8676,30007,14417,10334,36141,103416,83127,106936,22547,23665,41636,103013,57744,85152,69543,54800,25663,9094,17288,15051,23287,92038,96633,47391,No video,No video,No video,No video,4276,38026,95518,71595,75872,83448,2884,6473,43500,35214,36121,44374,25440,17479,11608,14116,11667,28639,16637,13039,32042,13109,25000,5467,No video,16507,41581,51710,78828,92747,19224,97169,75020,9192,1554,13745,40286,22677,17631,11803,16284,61144,65527,82100,No video,No video,No video,No video,No video,No video,No video,41747,107839,107840,95421,104837,80192,66988,93718,71353,16495,976,4599,9495,13448,14287,27260,13891,98631,74788,75596,80520,22719,360,5368,31753,107162,75084,26963,88658,107815,53865,67766,62316,75808,107751,58164,29143,102093,24888,105825,57126,No video,No video,19960,37602,12776,12999,54013,107645,82747,78140,23983,25677,32692,9248,16395,34523,39249,28253,10400,19997,26684,23849,35415,65537,45931,No video,No video,24989,31234,92482,107840,82031,46909,18848,69701,90423,72781,105806,93581,106976,79650,106256,103920,96358,82926,53348,41344,106742
cam_17202342,6402,10190,10244,6190,3488,2908,2049,13003,14195,33841,42095,20619,18851,17122,14715,21703,22969,44881,20464,16373,5503,3490,12,3590,No video,3458,10699,8386,10100,9729,6621,2996,9965,19365,7390,20035,23551,19706,36673,23431,19518,49224,53110,14667,20633,23164,5024,459,181,No video,No video,2663,5721,9758,10919,10599,25904,26658,23646,14922,20110,13150,30667,36014,16395,26998,17142,13640,6863,724,13071,825,5042,4623,3706,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,25637,20504,21887,5825,6968,25473,4748,25422,7306,31387,21581,20467,23201,22871,20398,11586,15262,18664,12141,10023,8011,7953,6735,832,No video,No video,No video,14748,22756,59072,10535,83311,68823,36100,7783,14346,14528,20398,21724,23722,20865,22817,46710,69522,14041,67698,67292,86502,1367,13853,138,1831,981,32570,8715,30903,98451,42949,28978,7145,43752,24086,70412,17175,38313,32137,25481,32049,22055,37890,No video,No video,No video,No video,2147,19486,73543,85733,70222,60655,67542,360,57504,96021,15375,51117,62481,57617,38977,32466,28039,26491,26488,15613,15713,4211,40279,30566,No video,59523,36470,29652,10420,61592,75917,48173,39091,31113,61481,13503,39289,42064,13211,46449,40378,38512,20786,32542,No video,No video,No video,No video,No video,No video,No video,26295,31832,16099,7201,81407,92561,82570,22078,44652,98324,29209,15971,40374,96706,83280,49492,77317,43916,34511,76839,78301,29272,58573,77035,43343,22782,32619,26076,5351,4150,5283,19282,2087,11832,7598,27315,37722,12787,36899,47566,22197,No video,No video,42413,100389,85337,25096,9187,16625,42020,9759,28689,12562,15113,6378,8274,14596,19453,10828,17539,7584,1180,19412,6340,10665,22598,No video,No video,32146,42366,42654,45111,30630,26504,58269,15620,25614,6787,32126,21240,6710,11316,2187,70192,64768,65086,8678,22331,12597
cam_17202345,3423,14759,16118,13289,45489,37626,43772,49463,56725,48684,4044,5245,5516,7499,6016,18156,25955,12676,6888,2717,13326,14456,27814,4466,No video,11828,2570,10881,6159,32525,97364,36804,28219,20572,9547,5219,5350,6032,5991,14689,65923,51659,5799,4497,22902,11809,55761,70104,97253,No video,No video,16772,9092,89429,30657,83413,47860,19646,9353,9910,7472,6836,13870,7838,7666,14420,9739,6588,11965,5,596,487,4505,11841,124,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,5862,30218,76553,85767,53510,42985,19097,21946,19546,22663,26366,17584,4469,8582,7964,5619,6905,22158,13768,32920,11045,2702,6923,40472,No video,No video,No video,6470,7855,2496,414,46889,48739,49421,1486,7010,17919,19612,30455,10692,8983,4928,17729,57829,29085,8546,8975,12814,839,28492,33289,7302,5943,36705,19493,29790,33175,20478,32462,2936,10639,17866,11751,27974,3426,3933,11085,8586,20146,42503,No video,No video,No video,No video,1176,5068,19113,11450,17968,1104,3256,9070,9863,8630,6927,6209,11575,7961,19835,15066,6569,11195,24050,56851,21520,17392,45444,28555,No video,22074,15821,13318,3102,7432,16171,5453,26305,18528,27612,4861,15240,29239,26472,41072,11844,7508,No video,No video,No video,No video,No video,No video,No video,No video,No video,7695,9816,5952,47295,52129,19180,10938,7748,9383,18018,17617,33670,65988,33323,17092,14767,12243,12792,2852,17606,9122,11384,9237,7535,13647,7515,3049,14756,14304,11500,15039,13320,16352,28640,18627,21998,24323,40764,62270,47867,9078,No video,No video,10909,12404,40538,10800,13139,75176,34274,22776,16599,44358,17707,22556,22853,40644,47890,10130,22302,5867,4653,6656,9645,8595,11774,No video,No video,18895,24476,8097,8062,24509,9775,33605,59253,10775,42604,79975,37553,61735,25340,11015,21684,3283,29706,87977,90588,46434
cam_17202346,4025,7339,22600,5632,32,13498,8405,20032,5738,11993,3088,4656,2111,4133,7021,37125,23983,34032,21846,4095,10980,7133,20980,4526,No video,4825,13215,33024,50775,10672,21950,50807,25599,24017,7541,6695,5560,5106,5616,38871,84506,85374,5848,6177,13224,16382,13175,176,3736,No video,No video,34014,45353,29947,83098,41270,30621,7563,9106,6198,5882,11126,55592,33238,28498,17108,8015,14341,47226,85070,28776,29441,31838,713,2999,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1140,4343,45547,19404,47451,20753,40626,55436,56998,48195,12525,7223,9391,13304,14057,4132,4947,13836,434,8729,1780,9516,174,19144,No video,No video,No video,5291,10960,11482,10653,16050,12087,9416,1858,3675,5535,8132,7113,10038,8709,6430,8570,1541,12053,52114,93816,45072,769,111,715,366,2810,6882,168,4003,5196,0,41076,20182,221,1030,5130,16720,7108,5284,9591,5057,1435,13647,No video,No video,No video,No video,44,1244,7313,2510,110,1465,622,8724,10939,5632,7297,10971,9541,5387,2587,8741,6485,7826,17616,22740,11927,13026,10369,8501,No video,100325,53350,16445,43908,48790,81027,75696,34225,83651,20361,2478,16894,8776,26086,No video,5945,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,31345,5805,22040,13645,14457,12883,13165,9413,13551,9077,19811,12662,14578,18751,8773,21848,8865,72075,13356,2781,51728,45331,47486,34519,89471,21214,17652,20730,47804,11631,13535,1585,20286,5417,5005,6418,10608,13347,20364,2956,3346,No video,No video,10038,9,373,9764,22,537,4262,4,4033,6664,8204,5177,718,6072,2975,2815,4968,1572,3510,4368,8344,7445,10914,No video,No video,2198,1019,9287,133,2055,0,4649,4037,7394,10504,8425,5971,9039,3303,853,825,1814,3545,3304,4446,5310
cam_17202338,19342,4992,9324,20233,11195,1317,6386,11657,22548,19526,12849,6694,8176,7850,8990,42027,18636,15014,7329,3992,25216,4671,12614,19417,No video,39890,7455,3655,18283,14806,13147,15146,9013,35528,16824,13518,27404,6097,8721,23594,19699,17468,10399,5503,4907,5848,9186,16355,7475,No video,No video,56907,54749,46931,26796,47325,39767,15475,14110,11367,13992,11890,3730,11825,8138,12263,9216,7317,8945,17746,5036,2153,4737,4454,5668,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,237,5769,7876,4430,2645,20164,101,13774,16184,17438,9078,13542,10040,2526,13266,2708,11558,16111,8526,15708,10010,23790,8183,12577,No video,No video,No video,12407,49271,107805,32310,17302,52195,13817,25456,17634,10628,13914,20538,19800,16077,16107,15149,28071,15316,65546,13835,2138,16430,19175,31369,65877,92802,106474,36994,49357,54689,50368,20229,41353,18057,6786,3722,12563,13684,7099,12607,11802,29561,76918,No video,No video,No video,No video,101841,107835,14987,30754,55134,78803,25779,54718,58022,32960,24636,43813,71395,29343,7656,7074,26418,7311,6803,10100,22614,65191,88575,23054,No video,11142,82225,106821,69478,107615,95450,107688,65618,6489,12955,9514,231,9884,8876,14326,4598,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2948,6422,7714,4244,50587,27791,74686,68628,37039,12545,4987,73860,97271,43849,14220,14998,26651,9888,56395,77491,70549,93482,51411,26365,107794,59949,43661,4870,8228,12756,48034,10999,11109,38864,107288,77105,69452,69654,19822,17200,47310,No video,No video,28549,74501,105042,61175,34622,12794,75991,107375,95676,60963,47054,30559,80713,33478,14886,5389,25975,39320,19954,97703,22270,49980,99789,No video,No video,58880,78002,84160,87278,107229,94779,91937,22921,77611,85299,23886,50781,7846,29502,16933,14089,5716,11278,67850,67850,8049
cam_6394836,4658,21440,28899,3449,21393,6459,25352,15185,23332,25105,11303,8811,9588,10914,14700,25406,5761,16196,12793,18737,34532,2075,8850,598,No video,3267,10241,10314,465,12390,552,7743,20778,6031,18261,18329,11317,31293,12033,26000,25486,15988,33278,22448,28682,42864,32325,23054,15014,No video,No video,25400,49419,54084,61405,52677,56327,12738,10279,16210,22539,29276,7790,17128,15788,19191,16895,25083,8831,19950,31530,13645,33925,35150,26037,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,19780,1994,6340,1418,1890,8936,109,15531,3910,17956,6172,19528,23755,28597,21937,15374,10848,18170,16841,7191,14103,17912,17923,6042,No video,No video,No video,9396,15174,22268,19524,95762,83392,68597,32480,28510,9897,6631,9087,7797,9852,5570,19168,14609,10062,47448,11372,43585,33495,16603,9350,4273,3004,5327,14272,32076,38832,47223,68139,12210,79064,66638,33031,22902,8408,8769,9286,22633,8539,10900,No video,No video,No video,No video,63064,45674,12070,55187,49682,34129,25514,73457,104191,36879,20320,13728,18219,17425,24270,76558,16284,76369,90400,87938,82347,44362,49210,60400,No video,34235,36609,7576,10877,39608,65996,8287,6126,25874,69428,44646,43590,65845,48388,44439,70899,84675,35725,73340,No video,No video,No video,No video,No video,No video,No video,10727,94070,26872,15843,20358,12097,10908,365,18924,35791,13498,476,20208,31990,33144,92038,36414,31865,65187,6336,28247,21005,57027,23926,51145,53180,10435,48124,28879,7668,29700,612,14544,5518,17143,28870,69597,27728,6823,29611,54477,No video,No video,34258,68386,4587,29027,25366,92085,23183,81969,41799,13345,178,473,3590,0,786,0,1942,6274,28726,13034,73833,73112,27787,No video,No video,32464,14529,14507,44750,61853,35661,90272,53080,15730,47869,25955,14534,112,0,558,8410,212,8200,22033,4116,44850
cam_6394837,8863,40127,21183,40369,25381,24997,33185,49848,45026,33295,5383,7605,5998,5074,13206,11053,4094,11675,8243,20190,11659,4834,7127,20080,No video,31742,31770,51713,23453,36646,5577,29541,2620,2793,11315,10599,5375,7374,7029,10957,1785,8391,7145,4946,12963,16865,12928,4097,15599,No video,No video,34506,36035,36393,45267,39237,9318,13178,7035,8369,9939,6855,13102,12576,5325,5943,6818,8270,2864,11399,21718,43759,28852,41823,54953,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,21799,7139,21169,24455,24104,31311,8697,28837,39539,30835,11242,15792,11674,11826,26906,28874,10735,23893,19436,22924,61311,69518,16890,9816,No video,No video,No video,14436,14540,33958,25862,58176,91231,50328,28215,29777,51986,33222,7173,11547,31396,12256,57638,83271,99912,77891,32980,27164,36788,49839,107630,91674,107426,107770,44746,83687,92251,63707,29191,5191,19526,27885,55330,46319,13947,6899,14895,45938,48518,73018,No video,No video,No video,No video,50069,106589,61567,107817,107840,58562,63348,32007,60610,44940,51063,42123,73779,68213,8156,38005,18696,80082,55508,65995,56465,49005,22903,74065,No video,28725,85267,62057,46157,107768,58883,29078,2904,16494,34885,37330,71345,48191,18895,33183,25905,72293,65008,34584,No video,No video,No video,No video,No video,No video,No video,11920,57711,72961,99738,40646,107830,104516,57184,87190,30430,88943,60931,17376,20505,22194,34289,34169,42198,56216,75739,83464,48790,73483,93205,69452,91830,78919,87331,12769,66768,100964,25681,65930,107187,65403,92460,61718,20215,6368,12274,90255,No video,No video,64789,35298,14613,60660,74325,78680,99362,49729,105323,89976,92395,29525,65098,49675,82605,85603,60644,85639,81310,28980,20685,28816,102639,No video,No video,107597,94555,102571,44000,59011,107692,89149,74908,98389,22821,27842,105470,48920,72356,57930,92945,16390,41547,34754,28700,100780
cam_6394841,7423,15155,20088,25543,13680,25104,29166,18481,51461,60217,15434,13540,20610,33639,15080,22856,7078,16638,22075,25769,10012,2629,36019,13861,No video,27300,23138,1452,26760,3159,40048,16108,25317,56457,33508,12202,15872,41155,19411,15646,31645,20364,22218,11038,32252,19122,1639,9183,32317,No video,No video,37063,20721,28654,34538,11902,50421,28394,13092,17658,19878,4026,18693,36530,23027,26650,6230,28426,12148,19355,33256,6099,13738,17973,23378,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,30402,7481,4709,33048,6912,2997,1583,1670,8349,16179,22335,18643,13391,10879,25741,37808,7343,22290,16396,6304,19043,20994,24894,24095,No video,No video,No video,14642,27765,89882,66968,106825,55997,49475,42360,24489,17574,28034,50156,18958,23726,29357,26779,94875,68258,57684,88938,63180,95866,90535,24892,90646,90522,34514,29688,30515,7127,62826,89993,87621,53973,101162,74831,44825,19910,15066,10141,14149,53679,23294,No video,No video,No video,No video,97576,50687,105975,105937,106777,90185,64294,106540,95540,107781,61561,107156,96365,93198,71275,31812,26965,21080,54310,17725,91164,86879,99159,41833,No video,81938,36441,81205,80305,106742,93580,51631,74546,34257,38679,79659,89265,67698,67454,33865,14341,16160,22142,71715,No video,No video,No video,No video,No video,No video,No video,101940,101734,86376,107768,98192,93211,106617,80285,107834,102932,107287,94477,100763,88475,43845,17652,33814,55532,82777,85336,48922,52680,67843,87789,58740,102951,75308,97556,74795,98965,107032,72627,79693,78768,85147,82615,15447,27776,35720,41065,29306,No video,No video,8519,14917,13574,698,41653,106999,94330,107246,68312,100690,78999,91464,84006,34404,90964,90739,60877,66458,85450,94612,103603,47987,60564,No video,No video,28510,80061,89323,61283,56987,82768,48947,67362,32590,92003,97547,95537,103996,102004,33967,37600,69375,2229,2534,39725,75894
cam_6394839,20894,7447,27880,33770,13206,21992,31763,9321,24482,24446,5145,4160,5870,10135,20716,11398,738,9936,10657,18336,10534,1315,8906,13413,No video,10879,5612,41370,2721,1038,25586,19514,8821,6439,5528,6994,5630,14982,22793,10049,13239,15794,9857,14262,36711,17658,14873,42220,37308,No video,No video,41294,23217,57978,36664,5813,13675,5990,13979,10239,19119,18099,11426,14507,24421,15312,26830,18791,16980,1650,23132,432,6190,10976,3940,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,70812,60914,45777,55244,72839,41176,70891,49528,68894,9016,10528,12940,18162,22331,23754,14269,11073,10555,1670,29555,20918,10078,17886,21399,No video,No video,No video,24077,33231,7951,22145,41680,10989,21268,51496,53682,79063,49071,16981,29324,15057,18433,16896,6214,25692,11531,19207,13788,23442,14993,24329,7970,41572,8203,20240,20811,71410,90765,92354,94745,66270,85644,49507,18169,10570,16054,15131,9206,39824,19259,No video,No video,No video,No video,35097,39156,73117,40557,45761,34128,10047,6712,26433,32926,20686,27594,20924,33598,25845,12237,26329,15048,49328,20147,29221,15280,25741,2880,No video,34164,58785,80135,107754,88386,89693,85769,42482,17049,32131,2842,24467,26081,21769,8352,8769,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,11808,19023,50601,64317,82111,77664,72770,81009,97839,101197,98210,99005,44407,15298,16440,31750,32132,22438,34715,84545,100167,83438,29407,65093,48149,48114,89596,83819,107227,105408,67100,81409,50825,65116,72269,75134,22152,62587,13643,23929,78288,No video,No video,69929,76381,64500,101520,97256,96187,44000,106312,106146,103390,61847,98935,89268,98262,104866,97475,102180,88602,51081,12365,18275,39139,84104,No video,No video,29610,78471,69244,79531,68691,48502,91527,46465,70608,94889,81049,27953,18038,32958,55556,46232,73348,84585,53755,46820,75445
