,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,0,0,0,1296,1739,0,0,1464,0,11828,26582,30280,25987,19311,9354,2451,0,88,15065,8433,0,0,0,703,No video,0,0,388,0,3105,0,0,16399,0,25863,16890,28306,20203,23421,9687,0,4915,14411,20450,0,1303,0,0,1417,No video,No video,0,3099,0,0,0,30832,35108,29522,16481,27079,20160,2606,3228,22771,3683,22405,13622,0,0,2062,0,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,993,0,270,0,0,1422,0,938,2442,0,3027,2035,631,12213,11048,3722,0,2358,2407,127,0,6655,1064,1038,No video,No video,No video,3349,1150,291,0,0,0,901,24,536,0,2502,1508,7916,2016,293,3244,0,0,0,1313,0,89,0,0,1858,0,0,0,80,0,0,0,3112,823,0,4,9884,6066,6254,0,0,5534,0,No video,No video,No video,No video,0,3,0,0,0,0,0,95,0,0,0,12,0,2,1122,1052,0,1294,2157,0,0,0,762,0,No video,0,0,2810,0,0,0,0,0,5248,31,68,0,3099,1363,1534,2526,3497,0,2880,No video,No video,No video,No video,No video,No video,No video,0,292,0,No video,0,16,0,0,2252,0,0,0,0,740,0,3665,0,0,0,9,0,0,0,0,1937,0,0,0,0,2903,0,0,0,375,0,0,3891,0,550,0,0,No video,No video,0,0,2,0,36,0,0,1376,0,0,0,0,0,0,3413,0,0,0,1202,3016,0,4245,0,No video,No video,0,0,0,2567,2901,0,0,0,1127,0,0,795,0,0,0,0,0,0,7222,705,1645
cam_17202341,0,0,0,0,0,0,0,0,3855,2902,20058,13121,13180,3414,0,5003,0,2141,10611,10690,0,0,0,1158,No video,0,141,563,0,378,0,0,1283,4490,12329,16074,2099,13612,9768,2038,118,1893,4929,11677,3541,1235,0,0,0,No video,No video,1534,0,0,451,0,674,18126,4125,15106,9827,1249,5833,0,6634,4858,7634,6758,0,0,36,0,0,0,2624,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,898,0,0,0,1173,0,0,0,1327,869,531,3058,467,7391,1913,935,1914,207,1560,1579,90,753,1273,68,No video,No video,No video,6500,2056,393,538,0,0,515,0,138,69,0,1796,0,719,0,1545,0,0,0,53,185,163,0,851,0,87,0,0,35,216,0,887,98,133,0,0,1161,666,956,134,2106,121,2,No video,No video,No video,No video,76,0,0,235,0,0,0,0,0,125,0,5,0,35,705,1389,1985,355,1201,13,66,0,607,0,No video,0,0,55,690,0,5,0,0,20,0,241,52,0,2649,975,4050,34,213,484,No video,No video,No video,No video,No video,No video,No video,138,0,0,0,0,0,105,0,0,788,0,0,690,158,1619,46,1537,0,0,0,0,132,0,0,560,0,0,100,650,0,478,0,0,106,0,841,1117,0,974,0,0,No video,No video,891,0,0,0,109,0,0,0,0,0,542,0,0,0,0,0,0,732,833,611,406,0,59,No video,No video,0,421,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,35,504,1020,0
cam_17202342,0,0,2527,0,0,0,0,0,0,3931,10130,9197,18884,22911,11347,9842,6141,12547,15248,15969,0,757,0,0,No video,0,7174,0,0,3554,0,0,1481,7746,22181,22370,8984,16416,6751,26773,10742,4114,2557,31497,6141,0,5248,0,0,No video,No video,0,0,831,0,0,9424,3619,16549,18413,23319,19909,10870,7548,2860,13911,20918,21232,4116,0,4555,0,325,1156,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2512,2514,437,0,0,0,228,3171,0,0,1344,803,1255,2169,4322,1367,12639,6907,4090,9165,985,744,6498,0,No video,No video,No video,10332,11085,813,0,3173,0,2280,0,873,1893,1469,2066,6569,5848,3704,735,2097,0,3307,3465,0,775,0,0,0,0,4302,0,1661,0,0,0,0,9,0,1266,6554,6881,6526,4228,78,13446,0,No video,No video,No video,No video,0,1000,0,0,0,0,848,0,0,797,0,0,472,0,4005,1,2087,3666,1916,2641,0,0,3203,0,No video,0,4336,0,0,0,0,2566,2066,0,0,0,0,4264,0,5518,2271,1065,2588,4416,No video,No video,No video,No video,No video,No video,No video,0,0,336,0,2237,560,1008,0,0,0,5664,0,0,690,2012,8690,0,2850,11675,0,0,0,0,0,2116,2450,7457,0,0,0,0,1311,0,0,0,0,3840,0,1180,734,1112,No video,No video,4214,0,0,297,0,6090,566,581,2908,0,3248,0,0,428,1604,0,0,0,0,0,0,0,1887,No video,No video,2418,0,0,34,592,980,6212,301,944,940,2919,0,0,3065,0,843,0,0,0,656,0
cam_17202345,0,0,460,0,0,300,0,0,5623,6243,38331,31725,22373,22034,13222,3004,625,10069,14209,6187,201,1472,1179,0,No video,0,1474,1027,0,704,0,0,655,11263,15538,6106,9813,10989,11961,11446,963,1830,10378,8319,1389,0,465,0,0,No video,No video,0,0,0,2095,0,9351,10662,7626,9907,6796,4872,5519,0,0,9691,4490,4672,291,0,0,0,1061,155,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,563,169,0,0,0,0,0,1314,0,225,2659,2200,698,1440,2019,1470,1630,234,209,0,909,0,1018,0,No video,No video,No video,2669,616,0,0,2777,0,0,0,0,311,394,2157,1914,454,1137,1377,80,83,1428,0,557,0,0,371,0,0,0,183,289,0,0,173,0,0,831,0,1,675,1253,1019,556,873,0,No video,No video,No video,No video,0,0,231,0,0,0,0,1661,0,0,0,0,291,0,69,485,1939,2047,1582,0,133,931,0,0,No video,0,273,1776,0,0,0,0,277,1170,455,0,0,0,0,265,1438,748,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,388,365,0,21,0,0,0,0,0,105,0,0,1158,441,1465,512,0,0,0,3181,122,0,0,0,0,0,0,916,35,0,534,0,0,4,176,0,0,0,2586,No video,No video,0,499,0,0,0,0,0,1302,0,0,0,351,697,0,0,187,0,0,0,0,0,0,0,No video,No video,0,0,1435,0,0,0,0,0,556,858,0,0,1,1686,0,0,0,228,0,0,0
cam_17202346,58,0,1508,0,0,5510,0,3567,26363,11081,37068,30928,23914,19322,13483,2344,0,131,6102,11098,5531,749,0,0,No video,0,0,2680,0,1074,1386,0,0,11978,18734,18270,12115,8941,7265,4040,0,3056,16886,9930,2852,0,261,0,0,No video,No video,0,0,1602,0,1048,11622,16871,16143,8943,15015,7696,3034,2244,1950,7473,10543,9243,0,0,0,15,175,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,209,0,0,0,1331,0,237,520,1984,2609,4621,2901,2491,5248,3003,3332,4282,0,4355,90,2223,0,2460,No video,No video,No video,7003,3734,0,382,906,0,2269,1318,0,513,3063,4131,6412,9375,4707,5001,0,2468,1280,0,1541,1166,0,0,0,644,519,0,0,1754,0,198,2195,0,0,527,3558,5821,3120,4041,2626,99,2160,No video,No video,No video,No video,0,0,1411,0,0,0,0,3064,0,0,0,0,0,4342,140,5996,2843,6442,5024,1963,0,1276,0,0,No video,0,0,2244,455,0,0,0,3157,0,0,0,0,0,637,No video,5876,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,1147,0,58,860,0,0,0,0,0,0,0,272,715,8028,5432,4401,0,178,0,1220,0,0,0,0,6,4376,1961,0,450,2019,0,0,66,0,165,0,0,731,3703,89,No video,No video,219,0,0,1377,0,0,321,0,634,3203,6830,0,0,0,0,0,1,0,0,779,0,2264,5967,No video,No video,338,393,3411,0,0,0,1168,2104,7,2,6836,1740,120,0,0,0,149,96,0,0,50
cam_17202338,481,0,0,0,0,0,0,0,6048,9634,15776,18326,12145,14825,12186,739,0,8439,18859,9974,34,0,0,365,No video,0,0,0,14,0,0,3030,0,15407,18531,10791,7759,12137,7754,2313,991,1758,5423,16958,4103,14,210,0,0,No video,No video,0,0,0,0,2348,8162,14526,6111,7123,2589,4218,1323,0,1608,3487,5759,6947,76,0,0,0,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,0,0,0,587,0,0,0,10,0,1727,108,2024,655,2226,230,313,580,680,1481,787,0,450,No video,No video,No video,403,32,0,262,0,98,0,0,0,0,671,847,522,2440,1065,2198,736,0,166,1029,0,0,464,0,0,0,0,909,0,0,0,0,344,790,0,171,3194,0,1918,5036,4536,1317,3,No video,No video,No video,No video,0,0,604,0,137,0,126,0,659,1871,0,0,83,0,1948,8119,1067,6308,0,0,5113,3134,0,0,No video,3830,268,0,2820,0,0,0,1700,0,0,3863,0,0,5085,0,10801,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,9,0,0,0,336,920,667,0,0,1293,0,0,5273,125,0,1331,2566,0,0,3,548,3010,0,2,0,0,0,75,0,0,1252,1356,0,10,130,0,4354,662,1595,No video,No video,104,0,0,3,0,1012,844,0,0,0,9,31,0,58,0,0,0,95,5170,0,3028,2400,0,No video,No video,726,0,0,0,0,0,0,2654,0,0,6,232,0,2572,35,0,0,27,0,2426,1972
cam_6394836,0,0,1240,0,0,0,1755,0,887,10214,24287,21657,18041,15250,10296,3918,0,0,7275,2850,0,0,0,0,No video,0,760,779,0,0,0,0,5060,0,21577,13573,9668,3228,1933,1697,4376,0,3790,7950,3544,0,0,0,0,No video,No video,0,0,0,0,394,4749,16633,12991,8288,9907,0,13083,3145,1266,2510,4870,3387,0,245,0,0,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,0,0,0,0,0,0,0,1133,817,1712,2478,354,3575,1341,1917,2676,4727,681,0,1232,1351,0,No video,No video,No video,490,1025,0,694,0,0,0,0,631,0,580,2625,4354,886,123,0,445,271,0,368,0,0,0,32,0,0,0,0,74,0,0,0,451,0,0,89,2739,1582,1406,1524,173,1,15,No video,No video,No video,No video,0,0,0,0,0,0,0,471,0,0,0,0,0,0,846,128,4043,0,0,0,0,904,0,0,No video,0,0,0,0,349,0,0,0,0,0,859,243,0,120,2162,0,0,3684,0,No video,No video,No video,No video,No video,No video,No video,0,0,0,0,0,0,0,0,0,0,2271,0,0,0,2888,0,942,1,0,0,627,114,0,0,0,0,0,0,0,0,954,0,0,0,0,847,0,0,3016,81,0,No video,No video,0,0,0,155,37,0,1796,0,0,300,0,0,114,0,0,0,101,357,730,1181,159,0,1482,No video,No video,0,701,218,0,0,196,0,0,0,0,674,2093,0,0,18,0,0,0,2558,0,0
cam_6394837,0,0,0,2198,0,0,2010,0,4162,7685,13599,10217,10604,7774,6951,2389,667,5215,7078,2705,477,0,0,0,No video,0,732,193,0,0,0,1694,0,2072,13390,7513,4210,5503,4614,1389,0,6502,2196,4425,1088,0,0,0,261,No video,No video,0,0,1666,0,0,4496,7367,4839,4071,3650,4721,3793,1984,2716,4202,4574,1598,0,0,638,0,0,1266,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,386,0,0,0,414,0,0,266,618,1573,1037,2602,875,3646,452,0,1848,1428,469,0,1232,8,1245,1289,No video,No video,No video,3177,1293,235,0,783,0,0,0,200,0,0,3462,779,243,1353,171,0,0,848,786,0,0,963,0,0,0,0,882,0,0,272,0,0,0,0,0,522,0,1302,1095,278,116,0,No video,No video,No video,No video,0,0,0,0,0,418,0,0,0,0,0,0,0,167,750,8,1307,0,839,0,0,0,658,0,No video,5,0,0,371,0,134,7,0,0,79,697,0,0,959,0,655,3,0,0,No video,No video,No video,No video,No video,No video,No video,0,0,338,0,522,0,0,0,0,641,0,0,324,674,0,340,320,0,0,0,2,1647,0,0,0,0,0,0,247,1,0,0,1279,0,0,0,828,1450,0,0,0,No video,No video,0,0,230,0,0,149,0,698,0,580,0,945,0,0,0,0,0,0,0,0,0,2209,0,No video,No video,0,0,0,427,0,0,0,1,0,0,656,0,0,0,612,0,0,0,289,0,0
cam_6394841,0,398,394,0,0,0,0,0,2378,7231,38750,32123,23002,12866,9892,441,0,5181,23526,14143,0,0,0,0,No video,0,0,0,0,0,0,1321,1209,3749,25227,26283,40106,24585,5193,349,11036,14459,31121,55168,7483,0,0,847,0,No video,No video,0,0,0,0,0,1480,34866,39995,41149,28737,4,27215,22963,6967,31613,45318,10408,0,247,0,0,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,0,729,610,0,0,0,0,183,1010,2100,3388,5059,4065,1395,1482,2051,74,2933,344,1708,1156,113,No video,No video,No video,10332,2928,0,2091,0,0,202,362,0,0,4874,1324,11070,4686,5371,4753,0,1066,0,0,443,0,0,131,709,0,0,0,2224,0,0,0,0,1875,0,53,2611,2138,4432,1048,1682,956,1011,No video,No video,No video,No video,0,12,4,0,0,119,1235,0,3,0,8,0,100,7,1919,1931,2164,485,215,339,83,0,0,57,No video,0,0,0,0,0,1,0,1,7211,0,0,44,8,90,1716,1391,1417,1494,1665,No video,No video,No video,No video,No video,No video,No video,16,8,939,0,0,0,0,0,0,61,0,6,38,30,2656,1899,1661,1044,0,0,1,937,0,0,2654,0,0,0,878,1,0,2494,0,0,0,0,0,0,3405,1028,0,No video,No video,0,9,0,0,48,0,169,16,769,0,0,0,4,2687,2,0,0,0,0,0,0,1500,5,No video,No video,1245,1440,0,440,0,0,0,0,1353,0,0,12,0,16,14,1836,0,0,0,0,0
cam_6394839,0,0,3,127,0,0,199,0,0,8049,8205,11445,10011,11636,4250,1456,0,253,4094,4486,103,5,0,167,No video,111,0,3,0,0,148,495,0,7412,9962,7820,8375,3741,1943,395,2152,96,3412,2205,8278,0,0,9,0,No video,No video,0,0,535,0,0,4358,15613,6289,3029,5274,1973,1213,1360,779,2176,3366,3077,0,0,121,0,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,0,0,0,13,0,0,0,198,262,218,124,625,587,453,585,0,294,0,416,0,4,450,21,No video,No video,No video,2006,1764,0,31,0,0,8,0,0,21,1139,515,429,521,455,97,0,4,0,57,0,521,0,0,0,0,0,0,57,208,0,0,0,179,0,250,125,253,1137,0,635,0,0,No video,No video,No video,No video,0,0,0,0,0,0,0,0,1626,0,0,0,0,0,434,506,125,320,0,22,0,0,48,0,No video,0,234,138,0,0,0,0,143,0,0,0,0,31,304,224,285,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,1,0,136,0,0,0,177,0,0,0,0,215,180,135,25,60,1,314,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,70,256,124,700,25,0,No video,No video,2,0,0,0,0,0,460,0,0,0,624,0,0,0,0,6,0,0,300,347,383,136,192,No video,No video,190,0,0,0,149,12,0,0,4,0,0,0,0,4,0,32,158,0,7,472,0
