,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,5,130,200,1730,2068,392,148,1034,53,6444,12843,13178,10238,7196,5494,1774,41,718,5479,3832,294,106,539,1728,No video,48,123,863,74,2718,0,334,5699,218,8529,5166,9877,8016,8629,4343,28,3032,5763,6378,65,1413,16,411,1291,No video,No video,114,2598,82,985,432,8713,9758,7919,6740,8045,6343,1043,748,3998,936,5204,5836,10,83,1581,0,0,288,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1584,0,436,17,9,797,0,489,1449,270,2328,1545,2256,9564,7431,3561,77,1974,1939,460,221,3010,496,1929,No video,No video,No video,34452,40263,7848,937,7906,1987,5309,6136,13360,2372,16800,11858,18694,23255,14423,18443,3713,1549,16939,15515,28,9662,242,1693,10909,3443,8,354,4339,160,2602,25,6436,13178,1803,7694,20068,12317,23228,9411,1840,10715,4302,No video,No video,No video,No video,902,13325,550,3254,1572,5984,392,18018,9,199,3828,3041,5925,13057,15587,33530,9607,12393,22357,12605,7893,13643,11267,980,No video,1395,2802,32240,3768,1223,20,2586,8,16488,4113,5069,2888,19340,42057,41774,21607,20960,8930,10295,No video,No video,No video,No video,No video,No video,No video,8621,13595,688,No video,1578,3743,6876,3020,22889,6429,6786,3814,11564,27219,4542,22307,10606,7413,5958,9411,3514,7477,629,943,30155,426,389,0,690,30097,4199,7339,4426,8352,4231,8700,28683,11854,34438,3497,7933,No video,No video,1120,6023,4838,132,5531,2865,751,8085,2645,5608,10614,2157,6994,498,30387,10143,3392,14819,17627,8272,2708,23878,8978,No video,No video,444,519,192,4859,28440,35,1576,2513,8442,694,3470,18288,5114,4643,3162,2413,1196,2862,30620,11063,16320
cam_17202341,590,484,479,1732,42,800,2420,12,12142,3393,22058,18322,12022,9194,218,2209,0,1908,9378,14642,458,34,662,3805,No video,41,1068,2249,0,1737,0,30,5356,3618,13278,13375,4484,11795,10865,2627,586,4157,8860,13719,4045,2857,39,193,583,No video,No video,3524,209,0,1768,0,1222,14402,3857,17462,10881,1952,6235,0,6719,3573,11134,13543,1045,78,1299,21,43,18,6131,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2864,0,34,116,2304,0,183,450,1968,1623,2214,7605,2140,14875,4651,3128,5385,1772,4460,5687,1067,2969,4256,1414,No video,No video,No video,13810,8185,7562,2644,0,428,2992,13,1497,1231,1327,8712,2276,5105,536,7519,236,641,15,3104,1079,807,17,4064,68,593,0,643,627,3282,0,2958,1839,1319,0,1146,7767,5501,3822,6746,3031,692,1362,No video,No video,No video,No video,878,782,0,829,42,284,166,209,42,2430,2,271,811,2337,5281,5714,7129,2954,5446,246,1029,118,3730,132,No video,265,41,1665,1732,0,410,12,97,343,15,885,555,213,6609,1667,8854,354,1360,2092,No video,No video,No video,No video,No video,No video,No video,1129,0,0,232,21,1,1232,18,348,2369,0,252,1321,1353,5986,2472,5889,164,331,60,279,1208,0,95,3091,0,13,1057,1412,0,893,0,106,514,0,3823,4723,0,7802,110,600,No video,No video,3945,2149,488,184,1248,18,389,58,0,303,2973,288,68,212,0,5,300,2070,2219,5416,4256,282,2240,No video,No video,133,6209,926,0,415,19,300,66,239,3397,0,276,184,926,61,50,356,133,3683,3666,14
cam_17202342,135,38,2778,479,1158,756,5,324,167,1583,4179,3497,7392,8901,4680,3536,2527,3305,5506,6376,694,1139,0,502,No video,204,4055,0,547,1586,525,0,508,2209,6127,7082,3380,4386,2971,5932,3803,1252,1278,6641,5781,1098,3020,0,0,No video,No video,0,373,964,302,24,3369,1078,4303,6218,8520,4978,3516,2418,813,2499,4105,8058,3075,0,2631,6,719,441,260,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1932,1734,776,51,298,649,886,2652,1091,1487,2591,2251,3411,3481,5502,715,5801,5112,3656,6004,3082,726,4127,222,No video,No video,No video,9970,7550,2017,147,1966,0,2273,10,1215,1564,2576,3114,6393,5712,6709,2349,2702,282,2154,4107,2016,577,3163,0,454,0,7852,537,1556,163,442,330,164,811,439,2703,6660,6930,6556,4170,1314,5896,650,No video,No video,No video,No video,253,1445,0,2181,2331,854,2162,0,1429,876,515,144,1204,766,10442,1785,1643,3984,1944,1789,1697,18,3880,46,No video,26,7122,3056,72,37,337,3811,3428,0,877,1777,411,9716,1866,5417,4255,1035,1429,2708,No video,No video,No video,No video,No video,No video,No video,435,53,1203,262,2433,1092,2271,107,1545,71,4091,28,126,657,615,6745,706,2446,5344,4332,17,268,321,143,1028,2780,7290,20,21,64,0,2139,99,623,30,632,2240,0,460,662,411,No video,No video,9002,340,0,2488,549,5882,1644,1222,3023,133,2775,132,379,1023,1662,17,94,184,0,472,115,369,1908,No video,No video,5126,79,839,586,666,326,6726,1450,776,225,2344,2296,189,2905,0,967,176,507,47,841,127
cam_17202345,0,104,3164,180,0,2209,0,170,7097,4920,16357,17026,15587,16995,15669,13029,2198,7038,12227,13974,2072,2978,5091,0,No video,0,2037,6533,0,3692,0,81,1567,10967,15009,15827,16059,14952,16560,15549,924,2403,13243,14053,9136,0,2971,0,0,No video,No video,80,0,0,6773,313,9066,13907,10667,12149,12150,9147,11062,263,659,10727,14047,12413,3073,0,157,39,3607,1339,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2236,2582,0,78,0,56,0,2238,72,583,5355,6156,4422,6223,6234,9192,8338,2693,2789,965,4118,0,3633,617,No video,No video,No video,16044,23987,4042,61,14317,37,3583,24,4110,8071,3101,8700,10516,6843,5646,7686,7299,5642,8558,1672,5684,6,258,2849,301,133,2310,2368,8628,217,1072,8601,1680,1680,6981,2253,7637,6731,8798,5805,8058,9472,2642,No video,No video,No video,No video,439,611,5395,87,461,283,988,7267,991,413,316,600,4047,1548,9677,7481,9284,6533,15537,3893,2838,7597,1185,674,No video,352,4362,9328,73,469,949,124,2242,8445,3204,1726,546,3253,1833,10407,8785,6252,No video,No video,No video,No video,No video,No video,No video,No video,No video,85,2129,3504,2564,32,3803,2655,103,2244,849,1168,1730,204,1388,5243,3117,13517,6907,757,3025,2454,11232,3136,464,149,3477,142,4712,1699,13624,5897,223,2586,70,1416,783,4273,1506,1833,644,8805,No video,No video,3353,5852,1953,2545,6127,1146,1521,9881,554,2455,707,4065,6537,191,1634,1343,632,656,549,523,1427,1797,903,No video,No video,7557,3070,8818,894,661,1261,9745,2579,6043,6230,80,1659,1429,8510,1794,315,28,2992,833,141,647
cam_17202346,1511,92,1520,399,0,3090,311,1833,10516,10219,17731,14533,16893,17509,9807,1613,290,351,1893,11313,4392,1024,99,225,No video,56,0,1577,0,467,2121,0,0,6905,13257,15972,14798,11140,9193,4361,0,1252,10087,11562,5282,0,1032,0,323,No video,No video,0,0,1680,0,652,6446,11023,10452,12108,11083,8586,2558,1655,1365,6594,9345,9213,254,18,1067,906,146,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1088,711,0,99,0,2048,162,418,416,1795,2695,3185,4102,3547,5336,2609,1978,3721,73,3887,569,2412,0,2963,No video,No video,No video,7494,11258,5834,4846,2279,535,2052,2512,668,2480,5872,5567,8160,7522,4804,4657,604,6012,1349,8,1845,822,29,302,382,1737,1516,3,105,1648,0,373,2265,42,950,951,4050,6754,5317,6481,3633,518,2055,No video,No video,No video,No video,0,142,981,456,0,19,323,2401,0,2927,521,334,252,1615,218,3513,4681,5477,6062,3187,1012,6990,971,340,No video,1545,548,7714,1865,32,699,355,4400,434,374,614,1998,2418,3120,No video,5806,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,956,2085,0,431,3494,1211,1810,423,1115,3214,6060,1853,3502,2038,6066,6212,6738,796,1433,3602,2913,3210,14003,17741,467,1573,5382,6495,415,2794,3745,664,910,1397,61,774,611,652,2494,2610,1147,No video,No video,2230,0,4,1555,5,3,758,19,565,2524,5561,67,0,413,612,483,165,121,89,9885,382,2771,6111,No video,No video,241,631,4218,0,498,0,1531,1135,284,183,3230,4312,1063,177,213,255,356,2002,1436,87,347
cam_17202338,6035,0,17,770,570,0,42,110,12625,5685,16689,14913,14728,9413,9463,4318,0,9648,11157,9750,3509,6,1614,5769,No video,536,191,22,961,2247,360,5751,165,7891,8470,9401,8332,12275,10015,3561,1146,2139,7298,11276,6554,1838,1638,374,0,No video,No video,16,60,0,0,4107,6083,9256,8454,9593,5660,11416,1300,155,4809,6327,9933,10466,3747,184,1004,92,1240,0,216,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,10,10,30,0,0,2198,0,994,1120,1077,2220,7163,2552,7404,3917,5747,4603,6918,4427,3426,7518,4024,858,6524,No video,No video,No video,21686,17612,0,2200,1073,6678,177,79,566,2097,4077,6986,3366,11135,9844,7107,13957,1,2323,4331,19,1976,7782,493,86,3204,0,10142,0,1072,181,1457,9497,12645,9477,8387,17663,7082,16340,11756,9532,17002,2227,No video,No video,No video,No video,2033,0,8846,5025,7582,0,5250,645,12129,14565,9,6065,8731,7262,18629,10910,9332,8374,16138,27434,15717,8057,227,235,No video,5036,8305,344,5141,14,355,0,3123,1188,2604,6386,208,1633,9705,2959,12424,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1264,1642,1852,267,1996,0,2251,2245,10818,4834,4279,4950,394,2225,11647,10082,3409,5628,7674,0,416,401,2494,21228,0,908,465,1431,1143,11972,596,4033,6399,6200,0,713,3633,1536,11291,8076,6256,No video,No video,4023,2115,0,4191,13,5439,4321,0,180,1896,645,7219,3,20500,2579,2889,8223,2549,7733,256,12678,11323,1455,No video,No video,6511,0,325,248,0,27,363,13826,637,9,1780,1413,2192,7348,1590,454,70,1907,2736,3219,8191
cam_6394836,12,617,3780,13,595,482,3581,1095,1076,5465,14714,13980,14147,13903,12517,8375,290,45,11586,6735,6515,49,1717,9,No video,21,2607,2661,57,128,59,0,5823,241,11890,14033,13415,9102,3203,5512,4972,607,4463,6743,8212,2026,2471,2401,9462,No video,No video,512,11359,6594,607,7309,4390,11446,11298,11214,8751,887,10302,3373,1056,2365,5119,11806,730,10081,4159,37,4671,5262,352,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,4202,0,32,0,3,411,12,1743,361,11215,2293,15192,14305,8396,9697,4463,6123,4964,6590,1617,444,2417,5837,272,No video,No video,No video,32018,22745,26,8474,34,2432,4003,1083,9685,2917,11545,8132,13724,15842,3813,3715,12135,8641,3700,12344,636,4852,1764,9777,2331,2788,1017,6688,16832,876,946,1149,7997,9502,11738,10312,17980,18294,13522,14076,17883,3852,7623,No video,No video,No video,No video,4830,120,2118,62,2021,1114,3116,10140,2082,764,4545,856,226,1345,6170,4736,9451,4249,3455,1951,1027,4214,1898,6450,No video,0,3505,2891,2471,7409,2401,1901,139,5112,9420,9348,6022,124,4020,3077,946,366,5695,3514,No video,No video,No video,No video,No video,No video,No video,8738,2734,10374,160,11424,188,3073,551,3831,3076,7448,190,1815,2814,7548,378,3886,5444,2948,2476,8342,7766,2,244,344,10,781,0,46,3,4558,61,660,40,909,9485,1838,2929,9872,4137,3191,No video,No video,383,1932,29,712,1774,33,5742,886,98,9574,899,861,2548,6,233,27,3289,2966,1582,12115,6781,984,7084,No video,No video,2413,7067,2837,1146,220,2715,7,593,109,967,4269,12781,0,0,717,2713,5,439,8148,63,1263
cam_6394837,268,1069,108,4722,965,0,7569,95,3641,3138,9154,7453,7340,10243,6980,2514,452,2559,5500,7288,4696,59,1622,3089,No video,2100,7684,1771,558,8331,1685,11702,43,2065,8176,10324,5159,6367,5860,2294,69,4016,1823,5272,6555,2275,0,0,2420,No video,No video,540,174,3489,20,26,2350,5982,5580,5562,11247,6198,5416,2138,1825,4345,3917,2260,0,7,3276,1540,43,4468,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,10091,24662,5132,3253,4159,1222,801,6543,9733,7531,4627,9896,8764,8208,3346,554,5303,5130,4286,238,3465,579,8669,3735,No video,No video,No video,23060,28189,24159,44,15975,2285,7255,4496,6094,7041,6911,12917,11604,10440,15463,6252,1124,2254,4457,16095,491,872,13473,6,1174,56,34,9560,4057,2479,3886,1473,561,8383,3052,6692,6386,16039,7987,15175,9129,9277,8954,No video,No video,No video,No video,5450,232,6576,22,0,6576,1101,8281,987,3121,8296,3,5625,6792,6805,8222,7179,5201,20595,18455,14456,10930,14960,2161,No video,62034,3834,410,12072,5,3660,9725,16,3380,8039,9214,916,12877,8738,4353,11731,16819,16796,25547,No video,No video,No video,No video,No video,No video,No video,4589,7397,1957,428,4893,10,1347,3888,619,8111,1698,8444,9125,12070,2398,3076,12240,4163,1563,2391,4933,9764,4423,1513,3790,2097,1597,317,6511,4071,32,2290,6369,394,9639,5794,3672,9830,3812,1581,1169,No video,No video,9906,18309,12122,171,2953,3120,285,7566,28,3676,324,9148,3117,2169,432,2444,4402,2560,2156,7725,783,8410,641,No video,No video,228,1119,1024,5167,12428,111,628,10221,1875,3657,8568,1224,3837,2,5681,2129,404,1514,17231,3010,287
cam_6394841,0,1758,1423,582,270,110,1590,65,1325,1759,12929,13111,9998,9627,8081,3375,507,3540,9925,9473,1904,574,2662,8,No video,905,745,7,398,23,929,1747,1063,2571,10943,15719,8965,5957,3038,1239,3082,4385,4858,6356,7061,3393,73,4128,1587,No video,No video,1845,406,433,249,49,1429,7573,9007,7472,5176,1054,6357,6406,1998,7090,10210,6865,0,297,2209,8,13,538,732,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,3903,610,230,9662,2355,232,524,167,1618,4176,2306,7317,7101,8222,8091,5775,6779,7676,4459,8306,2383,4934,2354,2002,No video,No video,No video,17415,13060,2110,4933,32,764,1610,941,17,575,7432,5305,12298,7565,11091,11802,2256,5452,4722,460,4041,47,1112,4641,1463,675,781,54,3935,324,1082,747,126,4207,810,1133,8158,6727,8994,7652,7734,5261,5956,No video,No video,No video,No video,874,1577,1085,141,715,3384,7963,6,1615,12,1776,25,990,435,2983,9325,13385,8750,4534,5905,1898,1905,999,9380,No video,3856,1074,935,6386,290,973,3356,2582,9607,3620,43,4128,6688,6146,6732,7596,7158,15217,7523,No video,No video,No video,No video,No video,No video,No video,853,637,3972,58,2586,1001,272,3469,6,1007,258,4520,4977,5220,12101,15692,13276,9725,1454,701,3514,11947,407,4247,6209,599,517,1013,2239,337,33,2938,1594,223,805,373,426,203,12440,7322,1204,No video,No video,1429,4263,1018,152,11980,112,2249,163,4846,625,2199,4183,2026,11918,3894,220,77,495,616,562,564,9775,14241,No video,No video,14946,2369,2555,4544,1012,189,2044,3100,11980,478,613,1396,107,555,837,9173,4181,5055,476,5233,1198
cam_6394839,9,743,980,3098,386,763,3932,1699,58,6043,6683,6527,7908,8807,3459,2665,29,1264,3452,5558,2216,328,1074,3996,No video,1200,757,3321,175,149,3525,2147,136,4099,11465,7043,6743,5850,5932,250,5408,960,4735,3493,6819,2386,57,1477,6,No video,No video,140,49,2605,1229,35,3702,8025,6149,4888,4163,2634,1371,1272,1772,2655,5396,5219,539,0,2299,21,352,155,80,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,12,0,5410,1310,92,65,5,1187,1194,1594,1334,8935,9120,5738,2974,1503,6403,0,3335,50,709,5388,2641,No video,No video,No video,21044,29548,28,3611,3193,20840,11553,12795,3672,9643,13589,19046,10477,14098,13873,14433,3912,12108,4260,10356,5019,16207,7338,1584,3311,7101,2863,1276,25933,5365,971,52,4499,7089,78,7405,14445,10913,12582,5116,9762,8500,14981,No video,No video,No video,No video,1099,3861,1021,3420,4977,7763,2914,3545,21361,1335,529,372,1074,8769,8053,11757,13811,5244,3329,16551,8098,4589,14994,7,No video,272,8197,8361,74,8704,1634,5506,17078,4089,4640,964,4530,11100,14012,14934,15403,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1986,3275,3739,5989,1952,635,189,3085,65,1994,1193,3060,6619,11427,15780,11949,9957,5553,8067,12087,1927,7087,1504,309,1213,11225,500,2744,562,579,4423,1735,1339,1490,6985,18975,16228,6825,11590,9919,4929,No video,No video,3943,980,282,1989,935,356,18193,305,967,2281,4207,8640,11258,4639,2941,6277,4074,13486,27754,14818,15470,16744,3546,No video,No video,15406,1978,2081,2555,15103,13712,4373,11475,18299,11356,20287,11863,2345,9809,1013,15358,15617,20416,18542,15011,9029
