,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,100229,92339,77561,64913,40206,68223,90877,39649,65509,21515,2416,689,1050,595,3242,53950,99101,96209,33514,13786,78039,96800,90936,65289,No video,99548,86312,81450,100980,39087,100882,83713,27746,82826,5505,30443,649,2501,813,2337,90632,54631,24368,19944,93446,67040,103244,70668,36089,No video,No video,89197,44312,70831,80409,80162,9568,1025,2198,8454,601,5169,50022,40702,11741,21326,6180,14544,82081,92303,49400,89509,33778,63104,94600,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,53250,100577,66891,100571,87778,56988,102381,72361,47633,42540,30079,11773,13378,1904,2028,4305,88867,43366,30028,40220,54837,36390,59295,83321,No video,No video,No video,135,3870,57623,102175,86062,95792,71585,39574,56911,92690,15986,1956,2134,1356,57612,432,46200,94751,7854,4267,28773,1000,20561,42695,35625,42003,63389,26232,56726,39624,60631,100615,49811,8030,657,36687,5906,937,3230,17788,62638,29257,71177,No video,No video,No video,No video,95336,35165,103255,72471,89490,8961,0,932,0,0,0,0,1,13407,934,303,201,0,2178,39,0,446,267,6,No video,429,590,1615,0,0,0,0,0,51,0,0,0,271,6884,46,111,230,13789,16249,No video,No video,No video,No video,No video,No video,No video,0,0,0,No video,0,124,64,8788,7,48,53,3,3,0,1,947,0,2890,0,7,0,0,70,0,0,0,0,0,0,163,0,0,0,1,0,0,197,47,1,0,0,No video,No video,0,296,28941,22446,670,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,18,0,No video,No video,0,0,0,5,69,0,0,0,0,0,0,10,0,0,0,14,39,0,9,0,0
cam_17202341,55604,81759,79078,40637,96567,76775,49944,76407,284,11465,1140,1164,148,4664,72619,56047,68984,43944,28727,1011,64341,97749,77479,22291,No video,22654,50023,40541,36419,20175,72670,58128,8917,32386,1567,613,33399,21151,19375,23930,46241,48028,31436,14968,27228,148,320,19,29381,No video,No video,427,32561,1163,1056,7932,62435,1350,25838,679,1665,21083,14997,92242,44643,51578,4504,11173,9308,6063,914,14450,24575,47639,740,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,21813,87812,97130,74946,46458,39823,53702,18245,273,426,22791,2607,11793,277,30115,46335,11986,4825,29224,18565,64071,37190,31814,66857,No video,No video,No video,289,1559,447,3929,81544,65195,32274,0,6505,160,57220,9508,96,37111,35969,1586,92108,40954,5174,33942,23685,71432,84670,1046,880,6813,630,13517,25638,3350,0,20,585,5195,45265,24939,5039,25857,46452,3286,69,158,27388,No video,No video,No video,No video,56492,18564,11649,58,24954,10484,98749,17879,38023,11017,50598,15299,21129,41387,31521,16857,15601,26134,1808,64878,32729,27809,14312,67046,No video,42,464,232,3,0,16872,2176,24065,46472,92209,26659,23976,15835,468,45800,151,2679,58,4,No video,No video,No video,No video,No video,No video,No video,11013,0,0,279,38,19942,1536,2,108,22076,24557,33379,36593,23682,25245,23358,2622,83,6308,17879,3335,53540,101362,31565,40,0,0,254,0,0,207,79,480,410,0,25,616,72,206,0,1177,No video,No video,2033,1625,79579,90974,27227,76,11647,25890,71579,61708,487,73388,45370,42211,63695,73400,58325,36871,30071,11568,7758,27393,7134,No video,No video,32912,220,0,0,63,42289,51820,36241,4,113,0,0,0,1,0,0,155,0,382,189,0
cam_17202342,77698,94138,19342,56488,75928,80458,88875,70846,84542,47726,13994,34785,8271,6073,39736,29863,54763,26246,37483,8289,60523,73734,104038,66046,No video,80635,1948,92941,77814,53604,85721,91284,18993,11716,16192,1606,31770,26532,16011,5983,43614,28536,19488,4681,30225,73603,57832,102077,105124,No video,No video,95296,89079,79140,79573,93331,34048,58075,25598,30682,9167,38043,33668,38547,73761,42834,31770,23813,47147,103349,30505,103080,67352,76454,89022,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,40756,52623,62435,97896,82231,65919,86463,45992,50679,56153,30060,36806,9756,5570,20979,70858,15281,24078,37732,5537,44845,52721,8873,76035,No video,No video,No video,109,520,35695,94364,50,38457,32413,94852,72534,42682,46916,28413,6703,1494,8358,31806,860,73808,8607,183,26,42348,25984,103153,81054,96086,1504,57962,25975,1565,45221,40659,89284,16931,59570,2454,4672,8362,1860,19226,26194,251,34607,No video,No video,No video,No video,91312,68003,33536,499,24420,28459,2549,102847,12274,17,47719,43063,4669,2572,1281,22551,12169,15114,22481,52077,48896,98697,19655,52321,No video,34569,245,16990,13003,25173,4039,0,17186,62957,6376,73099,43675,498,27392,2243,13948,13691,2422,28770,No video,No video,No video,No video,No video,No video,No video,45478,63685,36947,77665,147,18,418,32650,762,414,12221,55773,25410,171,83,593,4751,14064,77,255,0,0,6434,2,32716,14927,254,59145,63774,12578,83738,27881,2246,49934,24009,21455,3571,84233,15628,1660,33193,No video,No video,6315,239,9263,57329,75295,29278,23303,72659,15557,81334,38278,85353,78808,59625,58041,83365,60839,77543,98576,50002,87174,74818,50026,No video,No video,3536,28365,6152,8443,8620,53806,2508,54232,32955,38782,8106,17272,55757,41744,87518,3651,0,3,74915,65270,76519
cam_17202345,104296,74320,15767,74192,61407,40546,62705,54488,10374,19785,300,823,257,306,1672,698,65021,50351,1055,175,10508,0,32,0,No video,1116,10908,65,76170,17088,1271,1268,24116,209,297,656,1028,104,430,651,33203,42921,231,957,229,609,3485,14715,10025,No video,No video,53400,95580,15107,26570,8925,781,1011,80,97,518,238,1352,88144,86176,12450,649,981,18065,101956,81208,77137,52596,20926,42119,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,47609,1351,30779,4009,29816,32764,55036,1911,32209,26075,365,4135,20461,9,0,0,79,37492,25546,40823,26550,77062,10607,16,No video,No video,No video,11,132,83676,88998,720,31951,38912,37203,67546,20234,61583,23448,0,0,0,66,7230,16575,38140,52377,24567,98724,57244,31848,86434,95041,62299,40609,21448,46568,54507,28630,70048,86380,10308,78044,14967,2,0,103,1,118,14127,No video,No video,No video,No video,99840,90402,32675,49349,46392,92648,27159,33400,62669,74025,85257,76230,63037,68707,34413,1791,500,81,2093,36027,52048,854,38800,57429,No video,73713,32613,23850,73988,70920,45698,69548,37186,801,13237,82344,40502,59989,47424,6476,19,116,No video,No video,No video,No video,No video,No video,No video,No video,No video,95785,79978,58485,4702,48178,49840,85019,81156,83094,63528,76038,31144,24479,45824,10991,45278,204,40830,89770,23604,58717,283,61306,92181,86565,52883,77125,24415,57628,180,33091,85575,40139,31251,56265,56380,53315,48140,16188,20812,473,No video,No video,35155,2365,46812,79298,59783,21717,39704,26092,77358,48948,76860,33319,23819,53162,30524,75952,53654,82558,64705,43782,46827,57655,52075,No video,No video,40397,34754,1475,34418,25548,51293,248,4,9686,258,22694,10194,15541,3459,22980,53432,93491,30453,472,3008,9285
cam_17202346,54276,4009,6307,25763,95955,7797,0,6863,608,106,68,173,435,277,1985,42844,79938,66146,62372,1337,3141,4022,15544,1,No video,14879,1569,5074,11216,20621,11323,12115,57563,4864,63,116,489,985,2052,33898,21389,8285,546,710,374,73411,4995,90275,39503,No video,No video,14981,9257,1592,18795,1988,5972,186,914,715,1200,1280,737,55300,65019,7771,1337,587,23856,7100,17543,23049,21155,9959,44311,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,8448,8177,29585,67860,21377,25600,24206,19062,22669,5555,2036,19920,27893,113,245,139,2192,50,17561,409,50188,7223,103642,10439,No video,No video,No video,519,455,4856,1306,69159,89292,46883,85243,75764,62117,28409,1020,9197,174,1175,564,5361,460,999,350,5050,66549,78289,89763,76367,51903,15390,4413,39755,6547,783,277,911,60948,70982,21020,13176,1255,146,461,981,269,122,No video,No video,No video,No video,105363,89427,40949,60559,24390,22149,42027,2348,0,22048,14392,5748,1175,1586,16350,14292,240,39,329,24389,87573,27406,34566,51556,No video,15,27259,14814,811,8055,86,4,881,0,35897,56896,13434,44,34999,No video,104,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,28137,59123,2652,72622,42370,71232,53662,67627,71496,65770,50961,31616,44586,26006,7001,2613,1823,972,153,8787,112,7974,10161,7168,0,28,232,1461,18,8752,7224,98912,60712,53182,31292,40144,80169,28251,23897,46635,49770,No video,No video,284,43245,14688,7303,20318,11443,17363,90188,46338,35001,317,175,7451,286,0,25657,35300,29684,66759,23100,60976,24021,858,No video,No video,186,1237,281,509,1512,1,85,55866,42483,32081,3850,595,21936,24,11,10,132,2531,20548,15077,32996
cam_17202338,14044,96232,90195,44365,65478,94982,63211,81775,21757,45433,686,368,269,170,960,1672,87279,31709,427,273,15972,98397,76051,18801,No video,44389,84212,100207,66641,77125,80838,10257,87416,5929,225,585,548,276,285,34404,77145,55829,20735,615,1002,75003,42771,72403,85292,No video,No video,44321,36290,53000,68955,13625,308,341,144,285,12010,1405,51972,72449,195,10156,93,451,413,73418,66565,77997,57218,87290,67586,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,105466,77610,82311,91910,92751,6552,104689,60400,55036,43104,67484,53,41467,21,19404,90,9980,40734,10082,44140,160,9568,68007,46174,No video,No video,No video,205,2124,0,55109,81663,8354,92531,68935,77774,72544,46770,36966,46006,397,32901,25407,8839,3490,2151,63544,105306,79982,32041,75743,41826,381,1291,66,49136,35327,46519,74300,5999,39294,78614,66555,966,62821,317,47618,36639,4650,20222,No video,No video,No video,No video,923,0,51093,70480,672,19785,61193,50881,2,17729,60963,14317,194,27795,13307,14017,27978,27439,72137,48585,15441,101,821,5,No video,5518,528,0,195,159,0,0,6788,64557,7630,7931,100307,54102,8702,18855,5872,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,97139,96595,55505,95304,36126,79998,2339,10427,1224,45,1083,1810,761,35080,3327,3591,28945,20956,3459,25560,7761,1771,647,76,44,286,0,4538,1201,51593,44464,33219,6541,338,32,14654,318,10582,17728,585,7561,No video,No video,62625,7824,2687,8756,71347,15887,509,2,73,12359,32023,37583,26228,3540,86845,93430,37876,44372,53,0,2004,209,44,No video,No video,70,0,4,13,0,0,6,261,799,19551,46198,23651,59188,394,65767,74547,94409,66754,27492,671,47
cam_6394836,45422,57565,17176,28844,9680,16732,1867,10725,61872,35132,196,203,257,988,227,2746,76170,63793,15186,18487,16948,92693,65637,97124,No video,86414,62818,44959,96780,64935,98695,70792,16351,86789,231,342,1084,2572,63988,41234,38352,83772,37628,14259,3605,14221,60339,41702,33532,No video,No video,62547,14961,28608,21638,26290,15009,1331,1160,936,9011,72455,667,2199,52920,27946,17120,20562,55584,39390,27984,20726,26239,58467,55423,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,25751,99288,77748,96635,90879,48059,100849,54469,27795,34,38185,11781,2033,2426,3666,45472,28837,24468,9512,53438,47286,57433,1010,74559,No video,No video,No video,170,671,183,9750,0,215,5742,22027,625,14734,28662,15225,217,322,40,7,135,46,0,639,0,104,24061,15851,13464,27117,0,26880,134,6181,12661,8164,4,175,13632,4163,193,619,37112,228,21,27,27753,No video,No video,No video,No video,75,57570,72364,51980,30883,72114,53954,472,365,46690,58140,76967,63755,66370,23030,763,2303,4038,705,3030,2631,19186,47778,739,No video,41438,31095,94740,77688,36595,30008,84554,94903,40199,1722,2394,2196,295,3064,14088,15748,12346,2772,8105,No video,No video,No video,No video,No video,No video,No video,42030,1036,16333,0,5103,120,83,0,13844,19491,5072,0,1950,10175,176,1815,1510,48957,15334,946,11276,8149,39147,31738,9119,52603,67824,46446,716,476,2795,0,143,0,49,502,24469,30504,507,2213,5734,No video,No video,18946,3318,79760,57526,64502,14882,27341,3546,344,500,0,0,52,0,5751,0,0,450,513,186,47,10107,6464,No video,No video,37452,22707,70891,38043,39385,20142,16441,4174,188,1083,92,145,0,0,0,38,63,27,4094,67350,18243
cam_6394837,74440,40280,81800,25111,71748,78248,24162,51551,21863,19429,797,410,497,1049,1782,17171,80453,38549,5606,3286,11833,44969,48885,79576,No video,67231,38353,35207,56953,38468,81421,39,81319,36476,383,344,3061,1273,975,29585,86486,15226,49642,1508,1311,53113,84313,91861,16191,No video,No video,32608,44490,8565,43141,58177,45254,586,1028,1094,1745,2392,3104,27969,34513,12194,1696,24652,56886,45108,17410,31249,75243,38,40618,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,25653,54137,62592,34741,21133,68927,55856,39032,27566,15193,30009,716,46657,398,17878,36412,398,192,1086,70762,9095,10635,2,31782,No video,No video,No video,11,198,23446,46522,3265,35,47071,64913,57827,39275,50236,154,171,32834,32237,4584,12271,309,43,767,26416,56202,778,42,40,0,0,93,3144,0,26588,64561,100082,15630,37282,21360,2856,22784,8,116,32786,14376,5321,No video,No video,No video,No video,23,0,165,0,0,111,13460,17572,37041,41620,2419,13768,117,6453,3758,0,105,0,301,3158,14862,30817,135,6550,No video,89,627,28290,3847,0,311,25085,79012,58516,45195,34721,23307,13827,42,21326,5309,9114,16517,7244,No video,No video,No video,No video,No video,No video,No video,34491,26117,2831,7422,60,0,129,8800,19550,14558,14718,3662,13599,7168,73200,26217,27854,33034,20264,12490,604,138,524,6006,9237,6073,13707,19452,262,30,6807,74689,1247,62,0,17,64,135,54119,60293,3333,No video,No video,6692,1614,635,39576,9603,5042,1845,445,2413,7469,15115,2232,86,13033,23831,0,2931,3541,107,5571,49129,131,45,No video,No video,0,0,0,298,829,6,312,149,4821,57909,2968,0,18603,32103,978,833,84860,34306,19861,54541,892
cam_6394841,98947,74562,70835,65710,86230,71369,52135,88434,33422,22451,1026,2535,1306,393,357,14730,72660,38398,2061,1010,55965,93981,31806,90767,No video,66720,67159,104864,65541,102401,52187,71549,69020,30753,54,2057,2546,1626,35025,65329,39750,39153,16932,505,1814,29273,92749,58437,42112,No video,No video,59082,81283,66696,61957,91746,36267,1786,1356,1093,12772,85531,11460,5704,62279,2039,863,865,95341,79564,44934,100051,90651,78140,63517,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,46207,83806,96914,361,53087,64357,85084,90537,57688,31240,39421,4540,7504,63,166,29270,3,14569,41453,5418,48059,38725,54675,26621,No video,No video,No video,40,52,44,1481,764,1419,44557,32237,44831,5938,865,465,554,2167,936,1153,0,1246,657,0,1040,10336,16,10,0,0,249,55429,34397,66673,22,198,0,374,305,745,548,402,92,61,474,2151,48656,No video,No video,No video,No video,113,22344,73,1344,12,248,482,22,18,0,36574,55,801,0,2753,2190,529,1610,18528,57198,124,2029,299,3378,No video,606,62726,9510,43,0,0,33475,10380,2096,49896,23423,163,591,573,3190,56,10,728,323,No video,No video,No video,No video,No video,No video,No video,115,0,52,0,0,0,0,1395,0,0,0,232,1,2038,577,293,448,427,159,0,5,1608,37878,2950,163,2831,30931,495,205,33,13,440,22501,24583,9509,5831,55115,58718,1630,341,56463,No video,No video,69733,24395,79588,90404,3292,0,133,0,677,0,45,1,27,3095,363,909,6121,9894,648,119,5,323,3386,No video,No video,102,521,3435,1536,29337,10429,15809,7103,613,679,144,0,0,21,57047,3503,20423,90189,99847,18564,10751
cam_6394839,84660,98217,63658,47956,92016,79921,42732,92355,76065,18191,172,3279,1798,1752,6779,19824,100417,70896,31064,3822,67724,93718,75880,60177,No video,76832,89239,21901,93917,101080,59071,67704,79510,34511,687,5099,1590,4281,10052,73302,23792,64836,14596,30377,458,85291,90230,48249,70010,No video,No video,59882,83286,19405,35325,59173,24386,3842,1806,2612,2718,7459,52992,44442,38520,28409,2467,3204,67528,94255,43301,105003,88537,78760,89305,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,17169,46247,61937,40657,17429,62892,35931,57600,21787,12476,21399,29230,5533,92,11,39014,43847,5607,86484,3263,46548,68591,10152,56165,No video,No video,No video,24,913,69890,65021,57933,53106,59928,39815,48351,9286,10909,200,505,653,268,5319,94248,39245,87232,49931,77668,26583,70393,61662,89767,51914,74874,83371,12298,102,26,77,59,356,0,99,11998,487,781,84513,15760,27349,37954,No video,No video,No video,No video,67094,58672,33353,54881,55190,61169,92900,95233,15942,33051,63633,79628,50357,41953,18576,2105,15265,71593,10791,2558,59115,85479,33193,75042,No video,33548,5453,497,0,258,0,0,211,84405,54553,92783,70140,46024,6931,217,73,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,93988,81500,48479,1481,20020,28592,34144,4379,9920,514,3577,2330,892,50,40,34897,28551,53200,13240,0,0,13025,69961,41923,57172,10119,17714,9835,35,0,32799,24157,55390,40078,26136,194,77,46,22,241,9733,No video,No video,18259,28667,42989,361,3365,879,386,908,0,35,15741,55,437,1,19,1181,49,1534,14450,431,0,282,6741,No video,No video,443,18257,36404,21442,431,29060,10655,48987,859,0,328,61547,79143,56697,50480,27323,12622,24,70,548,4562
