,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,6123,10865,18582,25914,40334,9981,5128,16793,1699,15146,24482,21043,29137,33178,44103,26484,844,4071,18689,43869,21122,4502,9694,18190,No video,6092,8456,14504,3600,33611,3804,7923,21893,3033,14432,12535,20662,25368,38364,50374,8036,16908,16201,18742,3584,14715,3744,15345,47085,No video,No video,7334,25020,18679,10833,9740,16952,19257,22818,23712,27564,29205,16119,1620,15481,11415,23442,32947,138,710,15559,181,59,888,191,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,18489,35,4600,44,243,15270,251,2294,9625,12118,17448,14155,32509,51602,45483,41682,1873,10714,19151,8936,5130,18416,6290,4156,No video,No video,No video,42509,25256,21739,1131,1954,3775,14887,31024,10473,3667,24564,54334,48197,49468,13879,52725,41266,4694,46224,58398,78507,45498,63322,41988,27371,47530,44096,76717,25947,46030,18556,2766,24867,71907,69396,34344,40183,49408,41950,63900,23115,30684,7908,No video,No video,No video,No video,3440,19893,312,8286,511,4113,678,20359,66,39,698,6888,1890,42983,39285,25960,2096,9319,19233,6005,3406,4353,16492,3814,No video,96,37,33492,750,3,11,860,0,32581,7114,152,332,19205,9076,33315,14425,29579,23267,47367,No video,No video,No video,No video,No video,No video,No video,510,4417,18,No video,17515,15727,6161,16423,16036,835,10766,6175,3812,24551,4010,20745,1085,1335,447,15772,3101,2801,3388,1270,32429,0,3133,0,1385,33314,147,1980,106,5918,5396,2185,30420,6648,20795,1163,9909,No video,No video,85,3430,2911,4,19807,0,8,6586,3074,255,293,0,2102,0,33985,177,419,1061,6525,13842,4583,37509,22926,No video,No video,3769,2006,1329,13670,27298,0,3312,8679,2477,322,2228,9052,0,6034,2385,2555,3581,1057,34487,8070,9041
cam_17202341,45929,16370,25029,42937,8590,17859,38556,30877,39030,3995,27009,33899,32931,59913,5478,4087,462,3233,13905,38733,21399,8736,14338,52118,No video,3835,10720,20709,112,11378,115,845,8241,5362,26824,25706,15504,17312,26348,33629,1336,10407,14649,21527,8182,27987,0,1424,4550,No video,No video,71298,4422,71,5517,2504,11616,25839,5336,37466,42194,11372,11983,2016,10010,7950,31213,35198,8954,25,7910,247,692,482,53015,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,43016,3660,3431,5233,17984,3080,9156,7046,29403,9469,22328,31632,15250,40754,26749,12299,24077,10965,29684,53590,25710,49306,44169,18158,No video,No video,No video,65202,72718,44316,22688,1819,25708,34098,684,27260,11399,24088,50440,9591,42658,45495,57930,12671,50677,55092,46970,51446,14526,12819,40671,3398,11706,274,61670,49479,45488,4827,29301,18198,14738,7775,41650,51668,35190,34817,51675,9312,5390,25378,No video,No video,No video,No video,41125,38912,673,13344,6875,5459,5826,70065,26272,38651,21119,39780,56473,32925,41253,44964,45808,41046,56030,29335,28157,65703,46392,32203,No video,71776,65524,36935,25337,15093,55630,8453,4253,36980,13933,53788,35476,53941,51385,31194,43286,39345,24373,15523,No video,No video,No video,No video,No video,No video,No video,38732,1,0,9108,1159,1813,22476,14007,26723,54125,82307,60007,44622,44791,40335,39322,63089,8823,16243,13371,10912,20908,6116,70077,51895,678,32743,60583,14541,25,37451,39995,36255,9690,89,18469,50071,5675,43149,1782,37302,No video,No video,63923,58270,14963,3633,13474,101,1568,639,1769,7315,50777,24388,30430,18954,3359,5964,22126,20442,33001,36953,45799,12233,39482,No video,No video,48960,43526,8950,0,7667,17229,21121,1519,3255,22271,2034,1103,464,4467,1015,2599,5060,813,30192,39202,893
cam_17202342,16577,3314,53709,39690,14769,8159,7095,11464,2159,3286,15693,14598,28173,36396,32195,37082,12123,11932,16634,46829,38106,18854,3788,31784,No video,18600,74072,6362,11669,31877,8101,13309,70400,56965,33568,34375,26199,15827,27517,25331,19510,14925,12256,31587,36347,5590,32604,5261,2535,No video,No video,3190,8385,7201,5950,2228,18463,10676,19188,29707,31088,16804,21760,11819,4575,11837,19173,27490,34574,1469,35367,1664,18600,16553,3779,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,28819,23608,20251,3988,9347,9502,11171,22910,32514,13851,29147,24776,48123,46136,36217,14320,31336,14430,33982,49295,46399,40183,62741,30588,No video,No video,No video,59482,58475,8998,1921,11092,560,30400,5185,15755,35268,22924,32319,48523,47657,52245,19539,25303,13106,22426,18729,8036,61936,55632,4547,15327,10773,53343,40149,36891,7593,15857,34405,9456,43899,22195,17021,53508,28856,44164,45045,41837,53590,28485,No video,No video,No video,No video,6450,12294,761,8272,6121,10956,13622,4633,25946,3314,32905,13195,22801,36551,37983,41214,47665,44033,46208,28600,37436,4865,36867,24712,No video,13483,46656,53082,62272,21019,16992,8140,38588,13764,24602,14808,14980,37223,59624,42242,39322,41001,63194,33436,No video,No video,No video,No video,No video,No video,No video,26609,12270,34894,8296,11404,8334,7339,44581,50539,7431,37393,29818,37527,8349,17967,36463,18682,37404,39571,24233,23000,74890,40448,14026,22227,41534,46880,22144,23863,82636,18719,42763,53797,16784,68081,57767,56511,10758,45647,43754,35422,No video,No video,38879,2204,13240,17338,14877,35842,36666,16380,39778,8457,32196,8086,12440,20299,16770,4695,16653,7048,5200,14124,9857,8619,20375,No video,No video,57885,36737,54209,43509,56382,20539,24845,29274,39654,52829,53011,66685,35536,40698,18132,25810,38246,40244,23842,13244,18300
cam_17202345,121,16068,65486,19633,943,19316,646,1642,6947,18353,10152,9450,8000,10235,8936,37855,598,3112,8000,12740,75672,74012,58007,94445,No video,90322,83545,62845,25322,46145,8586,67149,46186,7516,7701,8703,7409,10223,11775,28301,4020,2547,7791,10578,43812,95416,28432,17371,207,No video,No video,36844,2529,1953,22420,14271,7114,10446,9430,7363,10748,9341,11706,4701,6353,8467,12458,25100,63637,5857,25348,30040,37347,67710,64908,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,40416,62916,313,6957,3459,19038,8903,49750,47314,42361,34250,29273,26399,14081,21336,18608,28118,26118,29833,29093,34628,27354,47028,52493,No video,No video,No video,57872,51229,15915,15516,29890,27113,14658,69127,29144,48868,18885,18116,12082,22873,21107,41017,30468,49101,33559,42806,27638,8191,21468,30406,13035,6442,6083,28529,33238,27862,31605,32296,32297,9134,43943,14691,34086,10737,13435,27850,25074,37037,48091,No video,No video,No video,No video,4506,10433,43706,46904,41646,13459,75473,49473,21425,14907,12794,15090,16838,27518,32994,32037,29491,37340,38085,9959,24254,57878,22343,20714,No video,10642,42333,33366,29119,17369,38033,30121,31337,44765,55057,15847,51356,14889,27784,28593,26298,27498,No video,No video,No video,No video,No video,No video,No video,No video,No video,1890,7673,21229,39074,7346,22966,5586,17150,9139,18974,10411,21875,12359,16450,28741,16174,46356,27181,12285,55018,27914,40432,20591,6801,7232,18311,26286,43280,23506,51760,39461,8110,20908,37843,14059,16748,15231,11539,16918,31978,39664,No video,No video,53204,71545,17351,14700,21726,9618,23764,29028,12104,7192,4410,33712,34279,10113,22969,16141,19486,14283,25863,32326,32776,23285,16846,No video,No video,34903,26647,52092,57106,41017,43970,21478,19532,43883,33614,5074,45699,19345,36924,67532,20897,10905,27534,9067,4279,42615
cam_17202346,45879,93770,51257,74475,11852,66478,60886,40838,14463,55057,8335,9808,11799,10348,22941,12721,1201,1028,1408,15902,44112,87174,69114,99991,No video,78162,76620,38147,41002,72083,54566,44627,21201,7695,14135,13922,12794,16514,25001,12536,449,1603,13411,14282,53360,17869,76803,17389,62783,No video,No video,58817,53034,65630,5912,60539,16534,18498,18197,17127,14289,28952,32720,4070,3392,13865,21337,32928,35120,15516,55963,48454,50526,97119,60529,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,94684,88058,31362,19855,38022,52089,33942,29539,24756,39889,58588,38821,32653,39586,41804,69856,70810,45167,87766,42301,49550,58606,4013,42128,No video,No video,No video,63348,57072,83837,85265,17210,5718,36528,11464,27652,35006,49428,60754,38088,35650,40458,55820,98412,60797,41918,11648,45501,31048,29354,16754,30129,41947,75860,103251,63812,81851,107057,62081,63074,39970,27123,73812,47788,42678,20983,34370,58777,97409,81469,No video,No video,No video,No video,2433,15754,43517,39541,83340,81866,64190,64874,8389,22381,59454,65564,91714,76652,46126,45212,30816,27015,42651,25798,7185,39754,47535,9842,No video,5765,26273,48158,34026,24518,18401,5486,34134,625,9585,39912,74918,86494,31653,No video,29949,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,44536,26633,52052,15746,38047,14932,17342,29835,17479,26626,29149,44246,36698,42655,43411,45561,59144,28893,84373,73079,24974,37421,19050,13748,4555,31206,40871,53651,39114,68359,42335,6676,15697,30098,71482,49357,14377,48967,49689,34101,42931,No video,No video,77861,64535,92772,75821,87491,95815,64314,17621,47731,39167,55675,100681,99671,77521,89071,75233,65402,75961,37152,61021,27257,39969,54802,No video,No video,88449,92066,63758,52902,64244,107541,78215,38548,48474,61540,47273,80436,63299,103572,85356,90984,104217,74269,82083,70211,65452
cam_17202338,50493,1624,5651,39926,22260,11432,26813,9600,18335,8707,11188,18447,11886,11690,21326,34512,1824,9348,10362,22239,47543,4717,11461,32315,No video,17644,10220,2527,13801,3352,4849,35393,9454,11187,11188,10813,11051,14395,20300,24177,7051,15351,11617,7246,26114,19238,30953,12975,11926,No video,No video,2054,9420,4739,7335,19306,6671,13111,14627,17294,37422,25501,31147,17469,62134,29269,10544,20824,82581,13024,24748,25474,36654,15652,31732,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1931,12926,8801,7390,8336,41184,3040,20217,15797,18140,10691,28386,38426,23960,26548,28447,58789,33250,29400,25235,32652,47132,11787,19523,No video,No video,No video,59124,35713,35,5630,7802,21075,1315,4170,4667,12552,18425,18676,18046,42587,19830,30962,35392,0,9658,13995,377,5621,25450,235,51,3472,75,35265,9347,9132,1647,7875,22908,20589,6162,19001,35719,10779,40665,20502,19639,39201,8124,No video,No video,No video,No video,2257,5,15372,1579,5555,496,3443,733,14337,26302,20565,16338,6343,34939,44354,32079,31201,21688,6103,10454,16646,17248,16551,75268,No video,47384,6318,348,7662,52,819,0,10075,25772,69910,33796,7094,20035,40113,64602,33093,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,5240,3181,13361,8025,4501,47,5451,4762,50940,78577,78498,11674,1853,3584,26660,66653,47550,31739,25952,4789,2499,5842,7307,27756,0,31662,63615,94153,77059,14221,4115,44178,61595,25983,516,5390,7194,18824,22039,49232,25978,No video,No video,7807,8308,111,17199,1858,37271,19891,103,2309,30778,13939,14205,896,22175,3530,6108,14977,9788,27343,1433,36404,20805,5360,No video,No video,20535,29790,5225,12980,611,1123,6921,36230,18621,2976,19558,25759,38463,26311,10525,9833,3744,9076,2301,7550,52706
cam_6394836,321,243,21288,47,795,685,10501,643,1470,3922,12607,10998,13067,17444,12757,34689,3271,2541,14965,21555,38710,12785,26837,7810,No video,14015,24890,32629,10318,29371,7751,24349,31028,12311,16067,24515,27980,37432,19178,11652,23646,6700,9447,16385,43655,19273,7964,8108,6389,No video,No video,2904,23348,1942,17460,10703,15178,23518,23615,23011,23122,4221,22791,37557,23111,27723,25665,17728,27514,22207,39009,9827,37217,6600,9036,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,49906,6548,21924,9720,14558,41850,6831,33812,74679,37606,38450,28460,23533,7747,38738,22723,28265,20568,42157,36262,40790,24477,58306,25527,No video,No video,No video,41303,42677,46030,59732,428,3485,14622,35573,26184,79619,27510,50067,40551,52639,13149,11720,34895,28540,37868,41001,35304,50526,57484,45201,78949,74462,89795,43595,30608,14779,6368,5933,13115,3020,9855,36249,38933,46526,13088,39589,5568,6717,11525,No video,No video,No video,No video,31121,4246,7199,606,12387,474,16578,19986,1202,9384,12852,7242,21074,13363,40692,17822,51524,986,9006,12335,5416,28220,2195,29417,No video,32167,24879,2452,7759,21725,8606,8906,3100,21022,7814,28000,41939,21980,15720,18231,7829,6502,41806,18523,No video,No video,No video,No video,No video,No video,No video,31833,461,24676,24606,32295,25,10113,0,9700,2628,41114,37,4869,16553,48940,1080,33402,11570,8991,44791,31235,48586,1320,768,930,321,8598,7882,2862,452,24162,3,2211,4,17208,49050,2783,7075,43963,17571,3942,No video,No video,12,8597,90,2822,4956,273,21663,3903,2948,52988,635,598,13149,0,3700,0,1479,3734,8748,38114,9665,1850,40021,No video,No video,4146,26872,9276,8280,657,13671,8,3966,0,9032,21343,26296,0,0,1265,8296,0,934,34885,61,1979
cam_6394837,20792,19537,3257,18165,2628,520,25553,758,6739,15169,19703,15452,11645,18107,32426,54195,20308,14867,31062,33135,75546,57835,48317,4135,No video,2077,19740,17330,22683,18965,14467,37730,23700,51848,12949,15308,13518,20024,19075,38782,18115,32533,22218,17843,43193,33414,10528,11838,67095,No video,No video,39357,26903,49072,19290,9705,13891,11973,10149,12315,20409,21360,30570,39146,45974,26436,33666,51348,37245,44126,57206,30416,3689,53733,12264,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,41906,3370,7717,39473,27176,4872,40619,24263,15181,38893,53713,48300,29734,36296,43331,38878,30066,24638,44189,13110,12899,24931,32130,40987,No video,No video,No video,51379,51573,23298,35412,25655,6173,2986,6528,5650,5254,12073,45209,52777,25359,27127,28465,10955,5025,9809,40003,53769,13771,29553,162,9485,358,36,36010,15219,1572,9024,5572,1704,46660,20790,11519,30395,35003,41121,48807,12412,29899,13103,No video,No video,No video,No video,51396,1016,22162,1,0,28287,29927,49967,3536,7163,31766,51941,6820,13336,57455,40932,58421,12191,21022,5758,11772,11307,42694,23176,No video,10346,11690,17083,19584,67,33890,40661,25783,19467,10222,14076,12272,17756,52182,43230,36063,6515,8730,26604,No video,No video,No video,No video,No video,No video,No video,44234,16444,15470,226,44883,0,1735,27317,481,26630,2243,24417,44651,50542,6107,32300,23518,22441,21102,11336,10359,29088,23756,6395,12528,2157,3535,718,73384,30551,37,4595,13736,197,21991,2300,16232,48952,42638,20717,4754,No video,No video,23405,33880,73658,7433,13971,11712,6348,37103,76,4906,6,37214,35147,35270,962,2155,19704,16100,7716,50675,30460,41627,4429,No video,No video,15,7882,3411,45253,27286,31,6126,15863,2754,12403,41374,1110,25819,3379,26929,3683,5532,17566,29853,19527,4078
cam_6394841,1372,5591,12419,8482,905,1387,7883,215,1655,3900,21968,24913,22989,25460,38809,43966,18882,35192,28127,40730,32595,9519,25266,1337,No video,5039,5150,1355,6064,2146,6030,4452,1521,2987,11848,23223,22146,22148,25417,16571,10703,11580,16828,21169,42014,49012,11182,24667,25501,No video,No video,3392,2974,294,977,248,3213,16040,28499,26139,32221,13968,31344,23331,10099,23132,22115,35465,47,4124,18873,1671,1525,3821,10182,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,24135,15849,5984,53209,32430,38753,17516,15206,37585,46227,31350,45252,46013,19051,17933,21849,15882,21607,28072,16012,28302,22045,15785,48305,No video,No video,No video,36427,45699,6293,23035,218,48362,7997,23852,38334,72715,42028,34753,24715,21438,27354,34542,9180,20082,11730,2925,25658,1574,7023,9621,6714,2440,2816,22658,27655,33441,4122,5637,641,17165,4734,13142,19721,13000,14612,15879,23050,23592,22700,No video,No video,No video,No video,8992,31594,616,411,308,11104,25024,1272,10351,47,6022,579,4823,1515,8617,24255,25911,36237,20787,20401,13241,15820,6189,45899,No video,13599,5490,9762,11985,746,2759,11010,10103,35126,11222,4715,4234,12178,9809,35728,22619,16141,36526,16028,No video,No video,No video,No video,No video,No video,No video,2774,314,10069,14,1477,1374,861,14616,0,272,282,3242,1798,5008,16669,25441,27383,28484,21087,10536,39760,23577,1382,9848,23278,1451,1059,5342,11000,2682,314,16715,2962,3641,9565,15214,21534,13894,31630,33520,18784,No video,No video,13095,43033,9219,4398,31524,729,2110,335,20563,6457,9099,7448,8788,33145,10688,6808,40749,28119,13479,8890,3375,24894,27111,No video,No video,29844,10054,10301,30118,14098,8939,35101,29672,31184,14593,5879,4211,1725,2963,12493,33562,13542,3031,4534,29732,19439
cam_6394839,1488,1307,10599,15105,547,5100,21279,2868,7032,10342,10676,9689,12583,14844,37126,47928,6544,20114,18943,40612,24317,11552,20980,25022,No video,17620,12221,36260,10970,5490,14283,12675,16207,32161,13850,15595,17749,19141,38097,11780,27900,18756,11757,14713,27975,2489,2116,13132,34,No video,No video,647,601,16710,31982,40254,24810,9767,16144,19893,21410,46061,22311,23132,24264,19989,25832,48104,22455,11021,30132,2380,12719,17854,14507,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,6496,131,74,1614,11509,619,485,321,7236,76575,55770,39969,28687,37772,40216,33440,47071,28599,18887,40608,35283,18977,41580,22828,No video,No video,No video,23582,16360,444,8221,427,27,3005,956,103,3828,10041,25184,21695,21085,37491,8645,504,11292,1944,5489,2112,24865,2240,5014,6595,2847,1573,434,13527,14378,127,517,2742,5024,3,8777,11058,17927,19338,958,30376,1982,1606,No video,No video,No video,No video,503,4474,329,4218,1033,2693,1700,1218,22669,144,1266,218,3702,7379,13168,18935,18424,2517,18862,14810,685,1357,8147,28,No video,11,18937,1690,0,2042,0,391,21516,1732,1138,738,2613,2451,14059,10829,6979,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,23,1499,3700,26762,1725,949,729,9365,16,500,1616,1956,9745,25990,28905,4449,8859,3448,16664,5885,300,1526,979,301,120,22775,1,8979,1,1391,2601,452,286,554,1537,7525,19656,10538,21888,17442,4757,No video,No video,4174,1184,59,1248,5741,10415,19716,0,0,1267,17289,38,1173,741,0,1050,671,1812,5546,18489,15620,15818,1748,No video,No video,25162,1910,0,1362,5865,8635,98,700,7692,1111,380,2678,609,2803,149,10004,1324,301,8278,12515,2091
